	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	on account of	Preposition	tr	because of, owing to	ara	بِسَبَب
eng	on account of	Preposition	tr	because of, owing to	ara	لِأَن
eng	on account of	Preposition	tr	because of, owing to	arz	بسبب	tr=besabab	sc=Arab
eng	on account of	Preposition	tr	because of, owing to	bis	from
eng	on account of	Preposition	tr	because of, owing to	cat	a causa de
eng	on account of	Preposition	tr	because of, owing to	cym	ar gyfrif
eng	on account of	Preposition	tr	because of, owing to	deu	aufgrund
eng	on account of	Preposition	tr	because of, owing to	epo	pro
eng	on account of	Preposition	tr	because of, owing to	fin	johdosta
eng	on account of	Preposition	tr	because of, owing to	fin	takia
eng	on account of	Preposition	tr	because of, owing to	fin	vuoksi
eng	on account of	Preposition	tr	because of, owing to	fra	en raison de
eng	on account of	Preposition	tr	because of, owing to	gla	ri linn
eng	on account of	Preposition	tr	because of, owing to	gle	mar gheall ar
eng	on account of	Preposition	tr	because of, owing to	grc	ἕνεκα
eng	on account of	Preposition	tr	because of, owing to	hun	miatt
eng	on account of	Preposition	tr	because of, owing to	lat	ob
eng	on account of	Preposition	tr	because of, owing to	lat	propter
eng	on account of	Preposition	tr	because of, owing to	lav	tādēļ
eng	on account of	Preposition	tr	because of, owing to	lav	tādēļ ka
eng	on account of	Preposition	tr	because of, owing to	lav	tāpēc
eng	on account of	Preposition	tr	because of, owing to	lav	tāpēc ka
eng	on account of	Preposition	tr	because of, owing to	nor	av hensyn til
eng	on account of	Preposition	tr	because of, owing to	pol	z racji
eng	on account of	Preposition	tr	because of, owing to	por	devido a
eng	on account of	Preposition	tr	because of, owing to	rus	в силу
eng	on account of	Preposition	tr	because of, owing to	san	हि
eng	on account of	Preposition	tr	because of, owing to	spa	a causa de
eng	on account of	Preposition	tr	because of, owing to	spa	por mor de
eng	on account of	Preposition	tr	because of, owing to	vol	demü
eng	on account of	Preposition	tr	For the sake of	rus	ради
eng	on a collision course	Prepositional phrase	tr	dangerously approaching a negative result	ita	in rotta di collisione
eng	on a first-name basis	Adverb	tr	having enough familiarity with another person to call them by their first name	cmn	关系已经亲密到直呼其名了	tr=guānxì yǐjīng qīnmì dào zhíhūqímíng le
eng	on a first-name basis	Adverb	tr	having enough familiarity with another person to call them by their first name	cmn	關係已經親密到直呼其名了
eng	on a first-name basis	Adverb	tr	having enough familiarity with another person to call them by their first name	deu	per Du
