	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Owenism	Noun	tr		fra	owénisme	m
eng	Owenism	Noun	tr		ita	owenismo	m
eng	Owenist	Adjective	tr		fra	owéniste
eng	Owenist	Noun	tr		fra	owéniste	m
eng	Owen	Proper noun	tr	town in Germany	swg	Aoe
eng	Owston's tit	Noun	tr	''Sittiparus owstoni''	jpn	オーストンヤマガラ	tr=ōsuton'yamagara
eng	Owston's tit	Noun	tr	''Sittiparus owstoni''	pol	sikora rdzawolica	f
eng	Owston's tit	Noun	tr	''Sittiparus owstoni''	slk	sýkorka Owstonova	f
eng	Owston's tit	Noun	tr	''Sittiparus owstoni''	spa	carbonero de las Izu	m
eng	Owston's tit	Noun	tr	''Sittiparus owstoni''	swe	owstonmes	c
