	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Oxfam	Proper noun	tr	charity	cmn	乐施会	tr=Lèshīhuì
eng	Oxfam	Proper noun	tr	charity	cmn	樂施會
eng	Oxfam	Proper noun	tr	charity	kor	옥스팜
eng	Oxfordian	Adjective	tr	denoting to a certain theory	fin	oxfordilainen
eng	Oxfordian	Adjective	tr	of or pertaining to Oxford	fin	oxfordilainen
eng	Oxfordian	Adjective	tr	of or pertaining to Oxford	ita	oxfordiano
eng	Oxfordian	Adjective	tr	relating to or denoting a geologic age	fin	Oxford-kautinen
eng	Oxfordian	Noun	tr	believer	fin	oxfordilainen
eng	Oxfordian	Noun	tr	native or resident of Oxford	fin	oxfordilainen
eng	Oxfordian	Noun	tr	native or resident of Oxford	pol	oksfordczyk	m-pr
eng	Oxfordian	Noun	tr	native or resident of Oxford	pol	oksfordka	f
eng	Oxfordian	Proper noun	tr	geologic age	fin	Oxford-kausi
eng	Oxfordian	Proper noun	tr	geologic age	fra	Oxfordien
eng	Oxfordian	Proper noun	tr	geologic age	pol	oksford	m-in
eng	Oxford	Noun	tr	dictionary	fin	Oxfordin sanakirja
eng	Oxford	Proper noun	tr	city	abk	Оқсфорд
eng	Oxford	Proper noun	tr	city	amh	ኦክስፎርድ
eng	Oxford	Proper noun	tr	city	ang	Oxnaford
eng	Oxford	Proper noun	tr	city	ara	أُكْسْفُورْد	m
eng	Oxford	Proper noun	tr	city	arz	اوكسفورد	tr=ōksfōrd
eng	Oxford	Proper noun	tr	city	aze	Oksford
eng	Oxford	Proper noun	tr	city	bel	Оксфард
eng	Oxford	Proper noun	tr	city	ben	অক্সফোর্ড
eng	Oxford	Proper noun	tr	city	bul	О́ксфорд	m
eng	Oxford	Proper noun	tr	city	cat	Oxford
eng	Oxford	Proper noun	tr	city	ces	Oxford	m
eng	Oxford	Proper noun	tr	city	che	Оксфорд
eng	Oxford	Proper noun	tr	city	ckb	ئۆکسفۆڕد
eng	Oxford	Proper noun	tr	city	cmn	牛津	tr=Niújīn	sc=Hani
eng	Oxford	Proper noun	tr	city	cor	Rysoghen
eng	Oxford	Proper noun	tr	city	cym	Rhydychen	f
eng	Oxford	Proper noun	tr	city	dan	Oxford	c
eng	Oxford	Proper noun	tr	city	deu	Ochsenfurt
eng	Oxford	Proper noun	tr	city	deu	Oxford
eng	Oxford	Proper noun	tr	city	ell	Οξφόρδη
eng	Oxford	Proper noun	tr	city	epo	Oksfordo
eng	Oxford	Proper noun	tr	city	est	Oxford
eng	Oxford	Proper noun	tr	city	eus	Oxford
eng	Oxford	Proper noun	tr	city	fas	آکسفورد
eng	Oxford	Proper noun	tr	city	fin	Oxford
eng	Oxford	Proper noun	tr	city	fra	Oxford
eng	Oxford	Proper noun	tr	city	gla	Àth nan Damh
eng	Oxford	Proper noun	tr	city	gle	Áth na nDamh
eng	Oxford	Proper noun	tr	city	glg	Oxford	f
eng	Oxford	Proper noun	tr	city	glv	Aah yn Ollee	f
eng	Oxford	Proper noun	tr	city	grc	Ὀξωνία	f
eng	Oxford	Proper noun	tr	city	hbs	Oxford
eng	Oxford	Proper noun	tr	city	hbs	Оксфорд
eng	Oxford	Proper noun	tr	city	heb	אוקספורד
eng	Oxford	Proper noun	tr	city	hin	ऑक्सफ़ोर्ड
eng	Oxford	Proper noun	tr	city	hun	Oxford
eng	Oxford	Proper noun	tr	city	hye	Օքսֆորդ
eng	Oxford	Proper noun	tr	city	ita	Oxford
eng	Oxford	Proper noun	tr	city	jpn	オックスフォード	tr=Okkusufōdo
eng	Oxford	Proper noun	tr	city	kaa	Oksford
eng	Oxford	Proper noun	tr	city	kan	ಆಕ್ಸ್ಫರ್ಡ್
eng	Oxford	Proper noun	tr	city	kat	ოქსფორდი
eng	Oxford	Proper noun	tr	city	kaz	Оксфорд
eng	Oxford	Proper noun	tr	city	khb	ᦀᦸᧅᦝᦸᧆ
eng	Oxford	Proper noun	tr	city	kir	Оксфорд
eng	Oxford	Proper noun	tr	city	kor	^옥스포드
eng	Oxford	Proper noun	tr	city	lao	ອັອກຟອດ
eng	Oxford	Proper noun	tr	city	lat	Oxfordia
