	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	PBUH	Interjection	tr	peace be upon him	ara	صلعم	tr=ṣ.l.ʿ.m.
eng	PBUH	Interjection	tr	peace be upon him	ara	ﷺ
eng	PBUH	Interjection	tr	peace be upon him	ara	صَلَّى اَللّٰهُ عَلَيْهِ وَسَلَّم	tr=ṣallā llāhu ʿalayhi wa-sallam
eng	PBUH	Interjection	tr	peace be upon him	deu	F.s.m.i.
eng	PBUH	Interjection	tr	peace be upon him	deu	F.s.m.I.
eng	PBUH	Interjection	tr	peace be upon him	deu	FSMI
eng	PBUH	Interjection	tr	peace be upon him	fin	rh
eng	PBUH	Interjection	tr	peace be upon him	fin	rohk
eng	PBUH	Interjection	tr	peace be upon him	hbs	s.a.v.s.
eng	PBUH	Interjection	tr	peace be upon him	hbs	s.a.w.s.
eng	PBUH	Interjection	tr	peace be upon him	heb	עָלָיו הַשָּׁלוֹם	m	tr='aláv hashalóm
eng	PBUH	Interjection	tr	peace be upon him	swe	SAAW
