	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	PC	Noun	tr	initialism of personal computer	cmn	个人电脑	tr=gèrén diànnǎo
eng	PC	Noun	tr	initialism of personal computer	cmn	個人電腦
eng	PC	Noun	tr	initialism of personal computer	ell	Η/Υ	m
eng	PC	Noun	tr	initialism of personal computer	hin	पी सी	sc=Deva
eng	PC	Noun	tr	initialism of personal computer	hye	ԱՀ	sc=Armn
eng	PC	Noun	tr	initialism of personal computer	ita	PC
eng	PC	Noun	tr	initialism of personal computer	jpn	PC
eng	PC	Noun	tr	initialism of personal computer	jpn	パソコン	tr=pasokon	sc=Jpan
eng	PC	Noun	tr	initialism of personal computer	kor	피시
eng	PC	Noun	tr	initialism of personal computer	mya	ပီစီ
eng	PC	Noun	tr	initialism of personal computer	rus	ПК	m
eng	PC	Noun	tr	initialism of personal computer	tha	พีซี
eng	pc	Noun	tr	piece	ces	ks
eng	pc	Noun	tr	piece	fra	mcx
eng	pc	Noun	tr	piece	hun	db
eng	pc	Noun	tr	piece	rus	шт.
eng	pc	Noun	tr	piece	swe	st.
eng	PCO	Proper noun	tr	Privy Council Office	fra	BCP
eng	pcs	Noun	tr	pieces	ces	ks
eng	pcs	Noun	tr	pieces	fra	mcx
eng	pcs	Noun	tr	pieces	jpn	ヶ	tr=ko	sc=Jpan
eng	pcs	Noun	tr	pieces	jpn	個	tr=ko	sc=Jpan
eng	pcs	Noun	tr	pieces	kor	ea	sc=Kore
eng	PCT	Proper noun	tr	Patent Cooperation Treaty	hye	ԱՀՊ
