	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	PDA	Noun	tr	handheld computing device	cmn	个人数码助理	tr=gèrén shùmǎ zhùlǐ	sc=Hani
eng	PDA	Noun	tr	handheld computing device	cmn	個人數碼助理	sc=Hani
eng	PDA	Noun	tr	handheld computing device	fin	kämmentietokone
eng	PDA	Noun	tr	handheld computing device	fra	assistant personnel numérique	m
eng	PDA	Noun	tr	handheld computing device	hun	palmtop
eng	PDA	Noun	tr	handheld computing device	ita	palmare
eng	PDA	Noun	tr	handheld computing device	jpn	PDA	alt=ＰＤＡ
eng	PDA	Noun	tr	handheld computing device	jpn	携帯情報端末	tr=けいたいじょうほうたんまつ, kētai jōhō tanmatsu
eng	PDA	Noun	tr	handheld computing device	mkd	ра́чен компју́тер	m
eng	PDA	Noun	tr	handheld computing device	mkd	џе́бен компју́тер	m
eng	PDA	Noun	tr	handheld computing device	rus	карма́нный персона́льный компью́тер	m
eng	PDA	Noun	tr	handheld computing device	rus	КПК	m
