	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	phablet	Noun	tr	electronic handheld device	deu	Phablet	n
eng	phablet	Noun	tr	electronic handheld device	deu	Smartlet	n
eng	phablet	Noun	tr	electronic handheld device	fas	فبلت
eng	phablet	Noun	tr	electronic handheld device	fin	fabletti
eng	phablet	Noun	tr	electronic handheld device	fin	phabletti
eng	phablet	Noun	tr	electronic handheld device	fin	puhletti
eng	phablet	Noun	tr	electronic handheld device	fra	phablette	f
eng	phablet	Noun	tr	electronic handheld device	glg	tabléfono	m
eng	phablet	Noun	tr	electronic handheld device	mkd	фаблет	m-p	sc=Cyrl
eng	phablet	Noun	tr	electronic handheld device	pol	fablet
eng	phablet	Noun	tr	electronic handheld device	pol	phablet	m
eng	phablet	Noun	tr	electronic handheld device	rus	фаблет
eng	phablet	Noun	tr	electronic handheld device	spa	tabléfono	m
eng	phablet	Noun	tr	electronic handheld device	tur	fablet
eng	phablet	Noun	tr	electronic handheld device	tur	phablet
eng	Phaeacian	Adjective	tr	of or relating to Phaeacians, the seafaring people	ces	fajácký
eng	Phaeacian	Noun	tr	member of a legendary seafaring people	ces	Faják	m
eng	Phaeacian	Noun	tr	member of a legendary seafaring people	grc	Φαῖαξ	m
eng	Phaeacian	Noun	tr	member of a legendary seafaring people	lat	Phaeāx	m
eng	phaeozem	Noun	tr	soil type	fin	harmaamultamaannos
eng	Phaëthon	Proper noun	tr	son of Helios	cat	Faetó	m
eng	Phaëthon	Proper noun	tr	son of Helios	cat	Faetont	m
eng	Phaëthon	Proper noun	tr	son of Helios	ell	Φαέθοντας	m
eng	Phaëthon	Proper noun	tr	son of Helios	fra	Phaéthon	m
eng	Phaëthon	Proper noun	tr	son of Helios	fra	Phaéton	m
eng	Phaëthon	Proper noun	tr	son of Helios	grc	Φᾰέθων	m
eng	Phaëthon	Proper noun	tr	son of Helios	iku	ᐸᐄᑐᓐ	sc=Cans
eng	Phaëthon	Proper noun	tr	son of Helios	jpn	パエトーン	tr=Paetōn
eng	Phaëthon	Proper noun	tr	son of Helios	lat	Phaëthōn	m
eng	Phaëthon	Proper noun	tr	son of Helios	por	Faetão	m
eng	Phaëthon	Proper noun	tr	son of Helios	por	Faeton	m
