	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	PM	Noun	tr	after 12:00:00	ara	م
eng	PM	Noun	tr	after 12:00:00	ara	مَسَاءً
eng	PM	Noun	tr	after 12:00:00	cmn	下午	tr=xiàwǔ	sc=Hani
eng	PM	Noun	tr	after 12:00:00	cmn	晚上	tr=wǎnshang	sc=Hani
eng	PM	Noun	tr	after 12:00:00	deu	nachmittags
eng	PM	Noun	tr	after 12:00:00	epo	p.t.m.
eng	PM	Noun	tr	after 12:00:00	fin	ip.
eng	PM	Noun	tr	after 12:00:00	fin	j. pp.
eng	PM	Noun	tr	after 12:00:00	fra	après-midi
eng	PM	Noun	tr	after 12:00:00	jpn	午後	tr=ごご, gogo
eng	PM	Noun	tr	after 12:00:00	kor	오후	alt=오후에
eng	PM	Noun	tr	after 12:00:00	rus	ве́чера
eng	PM	Noun	tr	after 12:00:00	rus	дня
eng	PM	Noun	tr	after 12:00:00	rus	пополу́дни
eng	PM	Noun	tr	after 12:00:00	spa	PM
eng	PM	Noun	tr	after 12:00:00	tgl	n.h.
eng	PMO	Noun	tr	Prime Minister's Office	fra	CPM
eng	PMO	Noun	tr	Project Management Office	ara	مكتب إدارة المشاريع
eng	PMSL	Phrase	tr	pissing myself laughing	fra	ptdr
eng	PMSL	Phrase	tr	pissing myself laughing	tur	Gülmekten Altıma İşedim
eng	PMT	Noun	tr	premenstrual tension	fra	SPM	m
eng	PMT	Noun	tr	premenstrual tension	por	TPM	f
