	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Psaki	Proper noun	tr	surname	ara	بْسَاكِي
eng	Psaki	Proper noun	tr	surname	bel	Пса́кі	m	f
eng	Psaki	Proper noun	tr	surname	cmn	帕莎其	tr=Pàshāqí
eng	Psaki	Proper noun	tr	surname	ell	Ψάκη	f
eng	Psaki	Proper noun	tr	surname	heb	פסאקי
eng	Psaki	Proper noun	tr	surname	jpn	サキ	tr=Saki
eng	Psaki	Proper noun	tr	surname	rus	Пса́ки	m	f
eng	Psaki	Proper noun	tr	surname	ukr	Пса́кі	m	f
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	bul	псалмопи́сец	m
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	cym	salmydd	m
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	deu	Psalmist	m
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	fin	psalmien säveltäjä
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	fra	psalmiste	m	f
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	gla	salmair	m
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	glv	saumeyder	m
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	pol	psalmista	m
eng	psalmist	Noun	tr	composer of one of the Biblical Psalms	rus	псалмопи́сец	m
eng	psalmist	Noun	tr	composer of psalms	bul	псалмопи́сец	m
eng	psalmist	Noun	tr	composer of psalms	cym	salmydd	m
eng	psalmist	Noun	tr	composer of psalms	deu	Psalmist	m
eng	psalmist	Noun	tr	composer of psalms	fin	virsisäveltäjä
eng	psalmist	Noun	tr	composer of psalms	fra	psalmiste	m	f
eng	psalmist	Noun	tr	composer of psalms	gla	salmair	m
eng	psalmist	Noun	tr	composer of psalms	glv	saumeyder	m
eng	psalmist	Noun	tr	composer of psalms	pol	psalmista	m
eng	psalmist	Noun	tr	composer of psalms	rus	псалмопи́сец	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	cat	psalm	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	cat	salm	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	ces	žalm	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	chr	ᏗᎧᏃᎩᏛ	sc=Cher
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	cor	salm	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	cym	salm	f
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	dan	salme	c
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	deu	Psalm	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	ell	ψαλμός	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	fin	psalmi
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	fra	psaume	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	gla	salm	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	gle	salm	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	got	𐍀𐍃𐌰𐌻𐌼𐍉	f
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	heb	מִזְמוֹר	m	sc=Hebr	tr=mizmór
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	hye	սաղմոս
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	ita	salmo	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	kan	ಕೀರ್ತನೆ
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	kat	ფსალმუნი
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	lat	psalmus	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	mri	waiata
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	nld	psalm	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	nno	salme	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	nob	salme	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	nrf	sieaume	m
eng	psalm	Noun	tr	a hymn collected into one book of the Old Testament	pdt	Psalm	m
