	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	pyaemia	Noun	tr	type of septicemia	deu	Pyämie	f
eng	Pyatigorsk	Proper noun	tr	city in Russia	kat	პიატიგორსკი
eng	Pyatigorsk	Proper noun	tr	city in Russia	nog	Бестав
eng	Pyatigorsk	Proper noun	tr	city in Russia	rus	Пятиго́рск	m
eng	Pyay	Proper noun	tr	city in Burma	cmn	卑谬	tr=Bēimiù
eng	Pyay	Proper noun	tr	city in Burma	mnw	ပြန်	tr=prɔn
eng	Pyay	Proper noun	tr	city in Burma	mya	ပြည်မြို့
eng	Pyay	Proper noun	tr	city in Burma	rus	Пром	m
eng	Pyay	Proper noun	tr	city in Burma	rus	Пьи	m
eng	Pyay	Proper noun	tr	city in Burma	tha	แปร	tr=bprɛɛ
eng	pycnometer	Noun	tr	vessel used to determine a liquid’s specific gravity	ell	πυκνόμετρο	n
eng	pycnometer	Noun	tr	vessel used to determine a liquid’s specific gravity	fra	pycnomètre	m
eng	pyelic	Adjective	tr		ita	pielico
eng	pyelon	Noun	tr		fra	pyélon	m
eng	pyemic	Adjective	tr	of or pertaining to pyemia	deu	pyämisch
eng	Pyeongchang	Proper noun	tr	county of South Korea	cat	Pyeongchang
eng	Pyeongchang	Proper noun	tr	county of South Korea	cmn	平昌	tr=Píngchāng
eng	Pyeongchang	Proper noun	tr	county of South Korea	cmn	平昌郡	tr=Píngchāngjùn
eng	Pyeongchang	Proper noun	tr	county of South Korea	fra	Pyeongchang
eng	Pyeongchang	Proper noun	tr	county of South Korea	hin	प्योंगचैंग	?
eng	Pyeongchang	Proper noun	tr	county of South Korea	jpn	平昌	tr=ピョンチャン, Pyonchan
eng	Pyeongchang	Proper noun	tr	county of South Korea	jpn	平昌郡	tr=ピョンチャンぐん, Pyonchan-gun
eng	Pyeongchang	Proper noun	tr	county of South Korea	kor	^평창(平昌)
eng	Pyeongchang	Proper noun	tr	county of South Korea	kor	^평창군(平昌郡)
eng	Pyeongchang	Proper noun	tr	county of South Korea	por	Pyeongchang
eng	Pyeongchang	Proper noun	tr	county of South Korea	spa	Pieonchang
eng	Pyeongchang	Proper noun	tr	county of South Korea	yue	平昌	tr=ping4 coeng1
eng	Pyeongchang	Proper noun	tr	county of South Korea	yue	平昌郡	tr=ping4 coeng1 gwan6
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	cmn	平昌	tr=Píngchāng
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	cmn	平昌邑	tr=Píngchāngyì
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	hin	प्योंगचैंग	?
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	jpn	平昌	tr=ピョンチャン, Pyonchan
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	jpn	平昌邑	tr=ピョンチャンゆう, Pyonchan-yū
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	kor	^평창(平昌)
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	kor	^평창읍(平昌邑)
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	yue	平昌	tr=ping4 coeng1
eng	Pyeongchang	Proper noun	tr	county seat of Pyeongchang	yue	平昌邑	tr=ping4 coeng1 jap1
