	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	pâte brisée	Noun	tr		deu	Mürbeteig	m
eng	pâte brisée	Noun	tr		ita	pasta brisée	f
eng	pâte brisée	Noun	tr		ita	pasta frolla	f
eng	pâte brisée	Noun	tr		por	massa quebrada	f
eng	pâte brisée	Noun	tr		spa	pasta quebrada	f
eng	pâté de foie gras	Noun	tr	the lowest grade preparation of foie gras	nor	gåseleverpostei	m
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	ara	بَاتِيه	m	tr=bātēh
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	arz	باتيه	m	tr=baté	sc=Arab
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	bel	паштэ́т	m	sc=Cyrl
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	ces	paštika	f
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	cmn	肉酱	tr=ròujiàng	sc=Hani
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	cmn	肉醬	sc=Hani
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	dan	pate	c
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	dan	paté	c
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	dan	postej	c
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	deu	Pastete	f
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	ell	πατέ	n	sc=Grek
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	epo	pasteĉo
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	est	pasteet
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	fao	postei	f
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	fas	پاته	tr=pâte	sc=fa-Arab
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	fin	patee
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	fra	pâté	m
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	hbs	pašteta	f
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	hbs	паштета	f
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	heb	פטה
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	hun	pástétom
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	ido	pasteto
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	isl	kæfa	f
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	jpn	パテ	tr=pate	sc=Jpan
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	khm	ប៉ាតេ
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	nld	paté
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	nrf	pâté	m
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	pol	pasztet	m
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	por	patê	m
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	ron	pate	n
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	rus	паште́т	m
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	slv	pašteta	f
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	spa	pasta de carne	f
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	spa	paté
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	swe	pastej
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	swe	paté
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	vie	ba tê
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	yue	肉酱	tr=juk6 zoeng3	sc=Hani
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	yue	肉醬	sc=Hani
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	yue	肝酱	tr=gon1 zoeng3	sc=Hani
eng	pâté	Noun	tr	finely-ground paste of meat, fish or vegetables	yue	肝醬	sc=Hani
