	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	pääkkönenite	Noun	tr	mineral	fin	pääkköneniitti
eng	Pälkäne	Proper noun	tr	municipality	fin	Pälkäne
eng	Pärnu	Proper noun	tr	city in Estonia	dan	Pärnu
eng	Pärnu	Proper noun	tr	city in Estonia	deu	Pärnu	n
eng	Pärnu	Proper noun	tr	city in Estonia	deu	Pernau	n
eng	Pärnu	Proper noun	tr	city in Estonia	est	Pärnu
eng	Pärnu	Proper noun	tr	city in Estonia	fin	Pärnu
eng	Pärnu	Proper noun	tr	city in Estonia	fra	Pärnu
eng	Pärnu	Proper noun	tr	city in Estonia	ita	Pärnu
eng	Pärnu	Proper noun	tr	city in Estonia	lat	Pernavia
eng	Pärnu	Proper noun	tr	city in Estonia	lav	Pērnava	f
eng	Pärnu	Proper noun	tr	city in Estonia	lit	Pernu
eng	Pärnu	Proper noun	tr	city in Estonia	nld	Pärnu
eng	Pärnu	Proper noun	tr	city in Estonia	nor	Pärnu
eng	Pärnu	Proper noun	tr	city in Estonia	pol	Parnawa	f
eng	Pärnu	Proper noun	tr	city in Estonia	por	Pernau	f
eng	Pärnu	Proper noun	tr	city in Estonia	rus	Перно́в	m
eng	Pärnu	Proper noun	tr	city in Estonia	rus	Пя́рну	m
eng	Pärnu	Proper noun	tr	city in Estonia	spa	Pärnu
eng	Pärnu	Proper noun	tr	city in Estonia	swe	Pärnu
