	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Pécs	Proper noun	tr	city in Hungary	ces	Pětikostelí
eng	Pécs	Proper noun	tr	city in Hungary	cmn	佩奇	tr=Pèiqí
eng	Pécs	Proper noun	tr	city in Hungary	deu	Fünfkirchen	n
eng	Pécs	Proper noun	tr	city in Hungary	deu	Pécs	n
eng	Pécs	Proper noun	tr	city in Hungary	hun	Pécs
eng	Pécs	Proper noun	tr	city in Hungary	ita	Cinquechiese
eng	Pécs	Proper noun	tr	city in Hungary	ita	Pécs
eng	Pécs	Proper noun	tr	city in Hungary	lat	Quinque Ecclesiae
eng	Pécs	Proper noun	tr	city in Hungary	lat	Sopianae
eng	Pécs	Proper noun	tr	city in Hungary	rus	Печ	m
eng	Pécs	Proper noun	tr	city in Hungary	slk	Päťkostolie
eng	Pécs	Proper noun	tr	city in Hungary	tur	Peçuy
eng	Pécs	Proper noun	tr	city in Hungary	yue	佩奇	tr=pui<sup>3</sup> kei<sup>4</sup>
eng	Périgord	Proper noun	tr	region of France	fra	Périgord
eng	Périgord	Proper noun	tr	region of France	oci	Peiregòrd
eng	Périgord	Proper noun	tr	region of France	oci	Peirigòrd
eng	Périgord	Proper noun	tr	region of France	oci	Perigòrd
eng	Périllos	Proper noun	tr	a village in Pyrénées-Orientales, France	cat	Perellós
eng	Périllos	Proper noun	tr	a village in Pyrénées-Orientales, France	fra	Périllos
eng	pétanque	Noun	tr	form of boules	ara	بيتانك	f	tr=baytank
eng	pétanque	Noun	tr	form of boules	ast	petanca	f
eng	pétanque	Noun	tr	form of boules	bul	петанк
eng	pétanque	Noun	tr	form of boules	cat	petanca	f
eng	pétanque	Noun	tr	form of boules	ces	petanque	m
eng	pétanque	Noun	tr	form of boules	cmn	法式滚球
eng	pétanque	Noun	tr	form of boules	cmn	法式滾球
eng	pétanque	Noun	tr	form of boules	fas	پتانک
eng	pétanque	Noun	tr	form of boules	fin	petankki
eng	pétanque	Noun	tr	form of boules	fin	petanque
eng	pétanque	Noun	tr	form of boules	glg	bochas	f
eng	pétanque	Noun	tr	form of boules	glg	petanca	f
eng	pétanque	Noun	tr	form of boules	heb	פטאנק
eng	pétanque	Noun	tr	form of boules	ita	petanque	f
eng	pétanque	Noun	tr	form of boules	ita	pétanque	f
eng	pétanque	Noun	tr	form of boules	jpn	ペタンク	tr=petanku
eng	pétanque	Noun	tr	form of boules	khm	ប៉េតុង
eng	pétanque	Noun	tr	form of boules	kor	페탕크
eng	pétanque	Noun	tr	form of boules	lao	ເປຕອງ
eng	pétanque	Noun	tr	form of boules	lao	ເປຕັງ
eng	pétanque	Noun	tr	form of boules	mri	maita wīwī
eng	pétanque	Noun	tr	form of boules	oci	petanca	f
eng	pétanque	Noun	tr	form of boules	por	petanca	f
eng	pétanque	Noun	tr	form of boules	rus	петанк
eng	pétanque	Noun	tr	form of boules	spa	petanca	f
eng	pétanque	Noun	tr	form of boules	swe	pétanque	c
eng	pétanque	Noun	tr	form of boules	tha	เปตอง
eng	pétanque	Noun	tr	form of boules	vie	bi sắt
