	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Pécs	Proper noun	tr	city in Hungary	ces	Pětikostelí
eng	Pécs	Proper noun	tr	city in Hungary	cmn	佩奇	tr=Pèiqí
eng	Pécs	Proper noun	tr	city in Hungary	deu	Fünfkirchen	n
eng	Pécs	Proper noun	tr	city in Hungary	deu	Pécs	n
eng	Pécs	Proper noun	tr	city in Hungary	hun	Pécs
eng	Pécs	Proper noun	tr	city in Hungary	ita	Cinquechiese
eng	Pécs	Proper noun	tr	city in Hungary	ita	Pécs
eng	Pécs	Proper noun	tr	city in Hungary	lat	Quinque Ecclesiae
eng	Pécs	Proper noun	tr	city in Hungary	lat	Sopianae
eng	Pécs	Proper noun	tr	city in Hungary	rus	Печ	m
eng	Pécs	Proper noun	tr	city in Hungary	slk	Päťkostolie
eng	Pécs	Proper noun	tr	city in Hungary	tur	Peçuy
eng	Pécs	Proper noun	tr	city in Hungary	yue	佩奇	tr=pui<sup>3</sup> kei<sup>4</sup>
eng	Périgord	Proper noun	tr	region of France	fra	Périgord
eng	Périgord	Proper noun	tr	region of France	oci	Peiregòrd
eng	Périgord	Proper noun	tr	region of France	oci	Peirigòrd
eng	Périgord	Proper noun	tr	region of France	oci	Perigòrd
eng	Périllos	Proper noun	tr	a village in Pyrénées-Orientales, France	cat	Perellós
eng	Périllos	Proper noun	tr	a village in Pyrénées-Orientales, France	fra	Périllos
