	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Q.E.D.	Phrase	tr		ces	c.b.d.
eng	Q.E.D.	Phrase	tr		cmn	得證
eng	Q.E.D.	Phrase	tr		cmn	得证	tr=dézhèng
eng	Q.E.D.	Phrase	tr		cmn	證畢
eng	Q.E.D.	Phrase	tr		cmn	證訖
eng	Q.E.D.	Phrase	tr		cmn	证毕	tr=zhèngbì
eng	Q.E.D.	Phrase	tr		cmn	证讫	tr=zhèngqì
eng	Q.E.D.	Phrase	tr		deu	w. z. b. w.
eng	Q.E.D.	Phrase	tr		ell	Ό.Έ.Δ.
eng	Q.E.D.	Phrase	tr		epo	KEP
eng	Q.E.D.	Phrase	tr		est	m.o.t.t	alt=MOTT
eng	Q.E.D.	Phrase	tr		fin	MOT
eng	Q.E.D.	Phrase	tr		fra	CQFD
eng	Q.E.D.	Phrase	tr		heb	מ.ש.ל.	m-p	tr=m.sh.l.
eng	Q.E.D.	Phrase	tr		heb	"מָשָׁ""ל"	"tr=masha""l"
eng	Q.E.D.	Phrase	tr		hin	इ. सि.
eng	Q.E.D.	Phrase	tr		isl	þ.s.s.á.
eng	Q.E.D.	Phrase	tr		ita	CVD
eng	Q.E.D.	Phrase	tr		kat	რ.დ.გ
eng	Q.E.D.	Phrase	tr		pol	c.b.d.o.
eng	Q.E.D.	Phrase	tr		pol	c.b.d.u.
eng	Q.E.D.	Phrase	tr		por	CQD
eng	Q.E.D.	Phrase	tr		por	QED
eng	Q.E.D.	Phrase	tr		rus	ч. т. д.
eng	Q.E.D.	Phrase	tr		slk	Č.B.T.D.
eng	Q.E.D.	Phrase	tr		spa	C.Q.D.
eng	Q.E.D.	Phrase	tr		swe	VSB
eng	Q.E.D.	Phrase	tr		swe	VSV
eng	Q.E.D.	Phrase	tr		vie	đpcm
