	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	RPG	Noun	tr	basketball: rebounds per game	pol	zbiórki na mecz	f-p
eng	RPG	Noun	tr	rocket-propelled grenade	pol	granatnik przeciwpancerny	m
eng	RPG	Noun	tr	rocket-propelled grenade	pol	RPG	n
eng	RPG	Noun	tr	rocket-propelled grenade	rus	РПГ	m
eng	RPG	Noun	tr	role-playing game	cmn	角色扮演游戏	tr=juésè bànyǎn yóuxì	sc=Hans
eng	RPG	Noun	tr	role-playing game	cmn	角色扮演游戲	sc=Hans
eng	RPG	Noun	tr	role-playing game	deu	Rollenspiel	n
eng	RPG	Noun	tr	role-playing game	fin	roolipeli
eng	RPG	Noun	tr	role-playing game	fin	rope
eng	RPG	Noun	tr	role-playing game	fra	JdR	m
eng	RPG	Noun	tr	role-playing game	ita	GDR	m
eng	RPG	Noun	tr	role-playing game	ita	RPG	m
eng	RPG	Noun	tr	role-playing game	jpn	RPG
eng	RPG	Noun	tr	role-playing game	pol	erpeg	m
eng	RPG	Noun	tr	role-playing game	pol	gra fabularna	f
eng	RPG	Noun	tr	role-playing game	pol	gra wyobraźni	f
eng	RPG	Noun	tr	role-playing game	pol	rolplej	m
eng	RPG	Noun	tr	role-playing game	pol	RPG	m
eng	RPM	Noun	tr	abbreviation of revolutions per minute	por	revoluções por minuto	f-p
eng	RPM	Noun	tr	abbreviation of revolutions per minute	por	rotações por minuto	f-p
eng	RPM	Noun	tr	abbreviation of revolutions per minute	por	RPM	f-p
eng	RPN	Noun	tr	reverse Polish notation	deu	UPN	f
eng	RPN	Noun	tr	reverse Polish notation	pol	ONP	n
