	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	RSA	Proper noun	tr	initialism of Republic of South Africa	afr	RSA
eng	RSA	Proper noun	tr	initialism of Republic of South Africa	est	LAV
eng	RSA	Proper noun	tr	initialism of Republic of South Africa	kor	남아공
eng	RSA	Proper noun	tr	initialism of Republic of South Africa	rus	ЮА́Р
eng	RSFSR	Proper noun	tr	initialism of Russian Soviet Federative Socialist Republic	deu	RSFSR	f
eng	RSFSR	Proper noun	tr	initialism of Russian Soviet Federative Socialist Republic	kat	რსფსრ
eng	RSFSR	Proper noun	tr	initialism of Russian Soviet Federative Socialist Republic	rus	РСФСР	f
eng	RS	Proper noun	tr	Pokémon Ruby and Sapphire	jpn	RS	tr=Rubī-Safaia
eng	RS	Proper noun	tr	Pokémon Ruby and Sapphire	jpn	ルビサファ	tr=Rubi-safa
eng	RSS feed	Noun	tr		deu	RSS-Feed	m
eng	RSS feed	Noun	tr		epo	abonfluo
eng	RSS feed	Noun	tr		hbs	RSS izvor	m
eng	RSS feed	Noun	tr		hbs	RSS kanal	m
eng	RSS feed	Noun	tr		hbs	RSS sažetak sadržaja	m
eng	RSS feed	Noun	tr		ind	pasokan RSS
eng	RSS feed	Noun	tr		ind	umpan RSS
eng	RSS feed	Noun	tr		pol	kanał RSS	m
eng	RSS feed	Noun	tr		tur	RSS bildirimi
eng	RSVP	Verb	tr	initialism meaning reply please	afr	a.asb.
eng	RSVP	Verb	tr	initialism meaning reply please	dan	s.u.
eng	RSVP	Verb	tr	initialism meaning reply please	deu	u.A.w.g.
eng	RSVP	Verb	tr	initialism meaning reply please	fin	V.P.
eng	RSVP	Verb	tr	initialism meaning reply please	fra	R.S.V.P.
eng	RSVP	Verb	tr	initialism meaning reply please	rus	про́сьба отве́тить
eng	RSVP	Verb	tr	initialism meaning reply please	swe	o.s.a.
eng	RSVP	Verb	tr	initialism meaning reply please	swe	OSA
eng	RSVP	Verb	tr	initialism meaning reply please	tur	LCV
