	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	rubab	Noun	tr	musical instrument	fas	رباب	tr=robâb	sc=fa-Arab
eng	rubab	Noun	tr	musical instrument	kmr	ribab
eng	rubab	Noun	tr	musical instrument	kmr	rubab
eng	rubab	Noun	tr	musical instrument	pus	رباب	tr=rubāb	sc=ps-Arab
eng	rubab	Noun	tr	musical instrument	tgk	рубоб	sc=Cyrl
eng	rubab	Noun	tr	musical instrument	urd	رباب	tr=rubāb	sc=ur-Arab
eng	rubab	Noun	tr	musical instrument	uzb	rubob
eng	rubato	Noun	tr	tempo played near, but not on, the beat	cmn	伸缩速度	tr=tán xìng sù dù
eng	rubato	Noun	tr	tempo played near, but not on, the beat	cmn	散板	tr=sǎn bǎn
eng	rubato	Noun	tr	tempo played near, but not on, the beat	por	rubato	m
eng	rubber	Adjective	tr	not covered by funds	fin	katteeton
eng	rubber	Adjective	tr	not covered by funds	fra	chèque en bois	m
eng	rubber	Adjective	tr	not covered by funds	spa	cheque sin fondos	m
eng	rubber ball blast grenade	Noun	tr		fra	RBBG
eng	rubber bullet	Noun	tr		deu	Hartgummigeschoss	n
eng	rubber bullet	Noun	tr		fin	kumiluoti
eng	rubber bullet	Noun	tr		fra	balle de défense	f
eng	rubber bullet	Noun	tr		fra	balle de plastique	f
eng	rubber bullet	Noun	tr		kor	고무탄
eng	rubber bullet	Noun	tr		por	bala de borracha
eng	rubber bullet	Noun	tr		swe	gummikulor
eng	rubber bullet	Noun	tr		tur	plastik mermi
eng	rubber bullet	Noun	tr		vie	đạn cao su
eng	rubber bullet	Noun	tr		vie	đạn chất dẻo
eng	rubber bullet	Noun	tr		vie	đạn nhựa
eng	rubber duck	Noun	tr	inflatable boat	fin	kumivene
eng	rubber duck	Noun	tr	inflatable boat	kor	고무보트	sc=Kore
eng	rubber duck	Noun	tr	toy shaped like a duck	cat	ànec de goma	m
eng	rubber duck	Noun	tr	toy shaped like a duck	ces	gumová kachnička
eng	rubber duck	Noun	tr	toy shaped like a duck	cmn	橡皮小鴨	sc=Hani
eng	rubber duck	Noun	tr	toy shaped like a duck	cmn	橡皮小鸭	tr=xiàngpí xiǎoyā	sc=Hani
eng	rubber duck	Noun	tr	toy shaped like a duck	deu	Gummiente	f
eng	rubber duck	Noun	tr	toy shaped like a duck	deu	Quietscheentchen	n
eng	rubber duck	Noun	tr	toy shaped like a duck	deu	Quietscheente	f
eng	rubber duck	Noun	tr	toy shaped like a duck	fin	kumiankka
eng	rubber duck	Noun	tr	toy shaped like a duck	fin	kylpyankka
eng	rubber duck	Noun	tr	toy shaped like a duck	fra	canard en caoutchouc	m
eng	rubber duck	Noun	tr	toy shaped like a duck	fra	canard en plastique
eng	rubber duck	Noun	tr	toy shaped like a duck	hun	gumikacsa
eng	rubber duck	Noun	tr	toy shaped like a duck	ita	papera di gomma	f
eng	rubber duck	Noun	tr	toy shaped like a duck	ita	paperella di gomma	f
eng	rubber duck	Noun	tr	toy shaped like a duck	kor	고무오리	sc=Kore
eng	rubber duck	Noun	tr	toy shaped like a duck	nor	badeand	m	f
eng	rubber duck	Noun	tr	toy shaped like a duck	pol	(gumowa) kaczuszka	f
eng	rubber duck	Noun	tr	toy shaped like a duck	por	patinho de borracha	m
eng	rubber duck	Noun	tr	toy shaped like a duck	spa	pato de goma	m
eng	rubber duck	Noun	tr	toy shaped like a duck	swe	badanka	c
eng	rubber duck	Noun	tr	toy shaped like a duck	tur	banyo ördeği
eng	rubber duck	Noun	tr	toy shaped like a duck	tur	plastik ördek
eng	rubberized	Adjective	tr	coated or treated with rubber	deu	gummiert
eng	rubberized	Adjective	tr	coated or treated with rubber	mkd	гумиран	m
eng	rubberized	Adjective	tr	coated or treated with rubber	mkd	гумирана	f
eng	rubberized	Adjective	tr	coated or treated with rubber	mkd	гумирано	n
eng	rubberize	Verb	tr	to coat with rubber	deu	gummieren
eng	rubberize	Verb	tr	to coat with rubber	mkd	гумира
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	cym	rhythwr	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	deu	Gafferin	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	deu	Gaffer	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	deu	Schaulustige	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	deu	Schaulustiger	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	epo	gapulo
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	fra	badaude	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	fra	badaud	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	fra	curieuse	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	fra	curieux	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	gle	stánaí	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	ita	curiosa	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	ita	curioso	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	ita	ficcanaso	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	ita	impicciona	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	ita	impiccione	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	jpn	弥次馬	tr=やじうま, yajiuma
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	jpn	野次馬
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	pol	gap	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	pol	gapowiczka	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	pol	gapowicz	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	rus	зева́ка	m	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	spa	cotilla	m	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	spa	mirona	f
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	spa	mirón	m
eng	rubbernecker	Noun	tr	someone who cranes their neck to see something	tha	ไทยมุง	tr=tai-mung
eng	rubbernecking	Noun	tr	slowing down to see the scene of an accident	deu	Gaffen	n
eng	rubbernecking	Noun	tr	slowing down to see the scene of an accident	fra	faire le badaud
eng	rubbernecking	Noun	tr	slowing down to see the scene of an accident	spa	curiosear
