	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	bel	Рэ́ч Паспалі́тая	f	sc=Cyrl
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	ces	Řečpospolita	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	deu	Rzeczpospolita	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	fra	Rzeczpospolita	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	hbs	Rečpospolita	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	hbs	Речпосполита	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	jpn	ジェチュポスポリタ	tr=Jechiposuporita	sc=Jpan
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	kor	^제치포스폴리타
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	lav	Žečpospoļita	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	lit	Žečpospolita	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	pol	Rzeczpospolita	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	rus	Ре́чь Посполи́тая	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	slk	Rečpospolita	f
eng	Rzeczpospolita	Proper noun	tr	Polish–Lithuanian Commonwealth	ukr	Рі́ч Посполи́та	f	sc=Cyrl
eng	Rzeszów	Proper noun	tr	city in Poland	bel	Жэ́шаў	sc=Cyrl
eng	Rzeszów	Proper noun	tr	city in Poland	ces	Řešov	m
eng	Rzeszów	Proper noun	tr	city in Poland	crh	Jeşuv
eng	Rzeszów	Proper noun	tr	city in Poland	deu	Resche
eng	Rzeszów	Proper noun	tr	city in Poland	deu	Rzeszów	m
eng	Rzeszów	Proper noun	tr	city in Poland	lat	Resovia	f
eng	Rzeszów	Proper noun	tr	city in Poland	lav	Žešova	f
eng	Rzeszów	Proper noun	tr	city in Poland	lit	Žešova	f
eng	Rzeszów	Proper noun	tr	city in Poland	lit	Žešuvas
eng	Rzeszów	Proper noun	tr	city in Poland	rus	Же́шув	m	sc=Cyrl
eng	Rzeszów	Proper noun	tr	city in Poland	slk	Rešov	m
eng	Rzeszów	Proper noun	tr	city in Poland	szl	Rzeszůw
eng	Rzeszów	Proper noun	tr	city in Poland	ukr	Же́шув
eng	Rzeszów	Proper noun	tr	city in Poland	ukr	Ря́шів	m
eng	Rzeszów	Proper noun	tr	city in Poland	yid	ריישע	f
eng	Rzhevsky	Proper noun	tr	fictional young cavalry officer	rus	пору́чик Рже́вский
