	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Réunion	Proper noun	tr	island in the Indian Ocean to the west of Mauritius and to the east of Madagascar	lav	Reinjona	f
eng	Réunion	Proper noun	tr	island in the Indian Ocean to the west of Mauritius and to the east of Madagascar	nrf	Île d'Rêunion	f
eng	Réunion	Proper noun	tr	island in the Indian Ocean to the west of Mauritius and to the east of Madagascar	spa	Isla de la Reunión	f
eng	Réunion	Proper noun	tr	island in the Indian Ocean to the west of Mauritius and to the east of Madagascar	zdj	Burubo
eng	Réunion	Proper noun	tr	Overseas department of France	bre	Reunion
eng	Réunion	Proper noun	tr	Overseas department of France	cat	Reunió	f
eng	Réunion	Proper noun	tr	Overseas department of France	cmn	留尼汪	tr=Liúníwāng
eng	Réunion	Proper noun	tr	Overseas department of France	dan	Réunion
eng	Réunion	Proper noun	tr	Overseas department of France	deu	Réunion
eng	Réunion	Proper noun	tr	Overseas department of France	ell	Ρεουνιόν
eng	Réunion	Proper noun	tr	Overseas department of France	ell	Ρεϋνιόν
eng	Réunion	Proper noun	tr	Overseas department of France	epo	Reunio
eng	Réunion	Proper noun	tr	Overseas department of France	fin	Réunion
eng	Réunion	Proper noun	tr	Overseas department of France	fra	La Réunion	f
eng	Réunion	Proper noun	tr	Overseas department of France	fra	Réunion	f
eng	Réunion	Proper noun	tr	Overseas department of France	fry	Reünion	n
eng	Réunion	Proper noun	tr	Overseas department of France	hbs	Reinion	m
eng	Réunion	Proper noun	tr	Overseas department of France	hbs	Reunion	m
eng	Réunion	Proper noun	tr	Overseas department of France	hbs	Реинион	m
eng	Réunion	Proper noun	tr	Overseas department of France	hbs	Реунион	m
eng	Réunion	Proper noun	tr	Overseas department of France	ina	Reunion
eng	Réunion	Proper noun	tr	Overseas department of France	ita	Riunione	f
eng	Réunion	Proper noun	tr	Overseas department of France	jpn	レユニオン	tr=Reyunion
eng	Réunion	Proper noun	tr	Overseas department of France	kor	^레위니옹
eng	Réunion	Proper noun	tr	Overseas department of France	lav	Reinjona	f
eng	Réunion	Proper noun	tr	Overseas department of France	mkd	Реи́нион	m
eng	Réunion	Proper noun	tr	Overseas department of France	nld	Réunion
eng	Réunion	Proper noun	tr	Overseas department of France	nrf	Rêunion	f
eng	Réunion	Proper noun	tr	Overseas department of France	oci	Reünion	f
eng	Réunion	Proper noun	tr	Overseas department of France	pol	Reunion
eng	Réunion	Proper noun	tr	Overseas department of France	por	Reunião
eng	Réunion	Proper noun	tr	Overseas department of France	rcf	La Rénion	f
eng	Réunion	Proper noun	tr	Overseas department of France	rcf	La Rényon	f
eng	Réunion	Proper noun	tr	Overseas department of France	rcf	Rénion	f
eng	Réunion	Proper noun	tr	Overseas department of France	rcf	Rényon	f
eng	Réunion	Proper noun	tr	Overseas department of France	ron	Reunion	n
eng	Réunion	Proper noun	tr	Overseas department of France	rus	о́стров Реюньо́н	m
eng	Réunion	Proper noun	tr	Overseas department of France	rus	Реюньо́н	m
eng	Réunion	Proper noun	tr	Overseas department of France	scn	Riunioni	f
eng	Réunion	Proper noun	tr	Overseas department of France	spa	Reunión	f
eng	Réunion	Proper noun	tr	Overseas department of France	swe	Réunion
eng	Réunion	Proper noun	tr	Overseas department of France	tha	เรอูนียง
