	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Rügen	Proper noun	tr	Germany’s largest island	ces	Rujána
eng	Rügen	Proper noun	tr	Germany’s largest island	dan	Rygen
eng	Rügen	Proper noun	tr	Germany’s largest island	deu	Rügen
eng	Rügen	Proper noun	tr	Germany’s largest island	dsb	Rujany	p
eng	Rügen	Proper noun	tr	Germany’s largest island	hsb	Rujany	p
eng	Rügen	Proper noun	tr	Germany’s largest island	lat	Rugia	f
eng	Rügen	Proper noun	tr	Germany’s largest island	pol	Rugia
eng	Rügen	Proper noun	tr	Germany’s largest island	slk	Rujana
eng	Rügen	Proper noun	tr	Germany’s largest island	swe	Rygen
eng	Rüppell's warbler	Noun	tr	''Sylvia ruppeli''	fin	mustakurkkukerttu
eng	Rüppell's warbler	Noun	tr	''Sylvia ruppeli''	swe	svarthakad sångare	c
