	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	S-shaped	Adjective	tr	shaped like the letter S	dan	S-formet
eng	S-shaped	Adjective	tr	shaped like the letter S	deu	s-förmig
eng	S-train	Noun	tr	hybrid, rapid urban railway	ces	Esko	n
eng	S-train	Noun	tr	hybrid, rapid urban railway	dan	S-tog	c
eng	S-train	Noun	tr	hybrid, rapid urban railway	deu	S-Bahn	f
eng	S-train	Noun	tr	hybrid, rapid urban railway	deu	Schnellbahn	f
eng	S-train	Noun	tr	hybrid, rapid urban railway	epo	rapida fervojo
eng	S-train	Noun	tr	hybrid, rapid urban railway	epo	R-fervojo
eng	S-train	Noun	tr	hybrid, rapid urban railway	fra	Réseau Express Régional
eng	S-train	Noun	tr	hybrid, rapid urban railway	ita	Servizio ferroviario
eng	S-train	Noun	tr	hybrid, rapid urban railway	pol	szybka kolej miejska	n
eng	S-train	Noun	tr	train of hybrid, rapid urban railway	epo	rapida trajno
eng	S-train	Noun	tr	train of hybrid, rapid urban railway	epo	R-trajno
