	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	spa bath	Noun	tr		mri	tāpu waiariki
eng	space agency	Noun	tr	government agency	cmn	航天局	tr=hángtiānjú
eng	space agency	Noun	tr	government agency	fin	avaruusjärjestö
eng	space agency	Noun	tr	government agency	por	agência espacial	f
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	ara	عَصْر اَلْفَضَاء	m
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	cmn	太空时代	tr=tàikòng shídài	sc=Hani
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	cmn	太空時代	sc=Hani
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	deu	Weltraumzeitalter	n
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	est	kosmoseajastu
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	fin	avaruusaika
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	fin	avaruusaikakausi
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	fra	ère spatiale	f
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	hun	űrkorszak
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	jpn	宇宙時代	tr=うちゅうじだい, uchū jidai	sc=Jpan
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	nld	ruimtevaarttijdperk	n
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	por	era espacial	f
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	rus	косми́ческая э́ра	f
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	rus	косми́ческий век	m
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	spa	era espacial	f
eng	space age	Noun	tr	current historical period which started with the launch of the Sputnik	swe	rymdålder	c
eng	space alien	Noun	tr	an extraterrestrial being	cmn	外星人	tr=wàixīngrén	sc=Hani
eng	space alien	Noun	tr	an extraterrestrial being	cmn	宇宙人	tr=yǔzhòurén	sc=Hani
eng	space alien	Noun	tr	an extraterrestrial being	deu	Außerirdische	f
eng	space alien	Noun	tr	an extraterrestrial being	deu	Außerirdischer	m
eng	space alien	Noun	tr	an extraterrestrial being	fin	avaruusolento
eng	space alien	Noun	tr	an extraterrestrial being	fra	alien	m
eng	space alien	Noun	tr	an extraterrestrial being	fra	extraterrestre	m	f
eng	space alien	Noun	tr	an extraterrestrial being	hbs	izvanzemaljac	m
eng	space alien	Noun	tr	an extraterrestrial being	hbs	svemirac	m
eng	space alien	Noun	tr	an extraterrestrial being	hbs	vanzemaljac	m
eng	space alien	Noun	tr	an extraterrestrial being	jpn	宇宙人	tr=うちゅうじん, uchūjin
eng	space alien	Noun	tr	an extraterrestrial being	jpn	異星人	tr=いせいじん, iseijin
eng	space alien	Noun	tr	an extraterrestrial being	pol	kosmita	m
eng	space alien	Noun	tr	an extraterrestrial being	rus	инопланетя́нин	m
eng	space alien	Noun	tr	an extraterrestrial being	rus	инопланетя́нка	f
eng	space alien	Noun	tr	an extraterrestrial being	rus	косми́ческий прише́лец	m
eng	space alien	Noun	tr	an extraterrestrial being	rus	прише́лец	m
eng	space bar	Noun	tr	key	aze	boşluq düyməsi
eng	space bar	Noun	tr	key	ces	mezerník	m
eng	space bar	Noun	tr	key	cmn	空格	tr=kònggé	sc=Hani
eng	space bar	Noun	tr	key	cmn	空格鍵	sc=Hani
eng	space bar	Noun	tr	key	cmn	空格键	tr=kònggé jiàn	sc=Hani
eng	space bar	Noun	tr	key	deu	Leertaste	f
eng	space bar	Noun	tr	key	epo	spacetklavo
eng	space bar	Noun	tr	key	fin	välilyöntinäppäin
eng	space bar	Noun	tr	key	fra	barre d'espace	f
eng	space bar	Noun	tr	key	fra	espace	f
eng	space bar	Noun	tr	key	gle	barra spásála	m
eng	space bar	Noun	tr	key	gle	spásbharra	m
eng	space bar	Noun	tr	key	jpn	スペース	tr=supēsu	sc=Jpan
eng	space bar	Noun	tr	key	jpn	スペースバー	tr=supēsubā	sc=Jpan
eng	space bar	Noun	tr	key	mri	pae mokowā
eng	space bar	Noun	tr	key	nld	spatiebalk	m
eng	space bar	Noun	tr	key	nno	mellomromstast	m
eng	space bar	Noun	tr	key	nob	mellomromstast	m
eng	space bar	Noun	tr	key	pol	spacja	f
eng	space bar	Noun	tr	key	por	espaço	m
eng	space bar	Noun	tr	key	ron	bară de spațiu	f
eng	space bar	Noun	tr	key	ron	spacebar
eng	space bar	Noun	tr	key	ron	spațiu
eng	space bar	Noun	tr	key	ron	tastă de spațiu	f
eng	space bar	Noun	tr	key	rus	пробе́л	m
eng	space bar	Noun	tr	key	slk	preslednica
eng	space bar	Noun	tr	key	swe	blanksteg	n
eng	space bar	Noun	tr	key	swe	mellanslag	n
eng	space bar	Noun	tr	key	swe	mellanslagstangent	c
eng	space bar	Noun	tr	key	tur	boşluk çubuğu
eng	space bar	Noun	tr	key	vie	phím cách
eng	space bar	Noun	tr	key	vie	phím dài
eng	space bar	Noun	tr	key	vie	phím dấu cách
eng	space bar	Noun	tr	key	vie	phím khoảng cách
eng	space bar	Noun	tr	key	vie	thanh dấu cách
eng	space blanket	Noun	tr	blanket	deu	Rettungsdecke	f
eng	space blanket	Noun	tr	blanket	fin	avaruushuopa
eng	space capsule	Noun	tr	vehicle or compartment designed to transport people in space and during reentry	cmn	航天舱	tr=hángtiāncāng	sc=Hani
eng	space capsule	Noun	tr	vehicle or compartment designed to transport people in space and during reentry	cmn	航天艙	sc=Hani
eng	space capsule	Noun	tr	vehicle or compartment designed to transport people in space and during reentry	deu	Raumkapsel	f
eng	space capsule	Noun	tr	vehicle or compartment designed to transport people in space and during reentry	fin	avaruuskapseli
eng	space capsule	Noun	tr	vehicle or compartment designed to transport people in space and during reentry	fra	capsule spatiale	f
eng	space capsule	Noun	tr	vehicle or compartment designed to transport people in space and during reentry	jpn	スペースカプセル	tr=supēsukapuseru	sc=Jpan
eng	space capsule	Noun	tr	vehicle or compartment designed to transport people in space and during reentry	jpn	宇宙カプセル	tr=uchū kapuseru	sc=Jpan
eng	space capsule	Noun	tr	vehicle or compartment designed to transport people in space and during reentry	rus	косми́ческая ка́псула	f
