	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Sr.	Adjective	tr	senior, post-nomial title used by a father sharing the same name as the son	fra	père
eng	Sr.	Adjective	tr	senior, post-nomial title used by a father sharing the same name as the son	hun	id.
eng	Sr.	Adjective	tr	senior, post-nomial title used by a father sharing the same name as the son	ron	Sr.
eng	Sramana	Noun	tr	type of monk	ara	شامانيّ؛ سامانيّ؛ شامان؛ سامان؛ عرّاف، ناسِك شامانيّ
eng	Sramana	Noun	tr	type of monk	cmn	沙門
eng	Sramana	Noun	tr	type of monk	cmn	沙门	tr=shāmén
eng	Sramana	Noun	tr	type of monk	ita	shramana	m
eng	Sramana	Noun	tr	type of monk	jpn	沙門	tr=しゃもん, shamon
eng	Sramana	Noun	tr	type of monk	kor	사문
eng	Sramana	Noun	tr	type of monk	kor	沙門
eng	Sramana	Noun	tr	type of monk	tha	สามเณร
eng	Sranan Tongo	Proper noun	tr	language	gle	Criól Shuranam	m
eng	Sranan Tongo	Proper noun	tr	language	gle	Suranaimis	f
eng	Sranan Tongo	Proper noun	tr	language	nld	Sranan	n
eng	Sranan Tongo	Proper noun	tr	language	nld	Sranantongo	n
eng	Sranan Tongo	Proper noun	tr	language	nld	Surinaams	n
eng	Sranan Tongo	Proper noun	tr	language	rus	сра́нан-то́нго	m	tr=
eng	Sranan Tongo	Proper noun	tr	language	srn	Sranantongo
eng	SRC	Noun	tr	VHF certificate	fin	rannikkolaivurin radiotodistus
eng	Srebrenica	Proper noun	tr	Bosnian town	dan	Srebrenica
eng	Srebrenica	Proper noun	tr	Bosnian town	deu	Srebrenica
eng	Srebrenica	Proper noun	tr	Bosnian town	fra	Srebrenica
eng	Srebrenica	Proper noun	tr	Bosnian town	hbs	Srȅbrenica	f
eng	Srebrenica	Proper noun	tr	Bosnian town	hbs	Сре̏бреница	f
eng	Srebrenica	Proper noun	tr	Bosnian town	hye	Սրեբրենիցա
eng	Srebrenica	Proper noun	tr	Bosnian town	lat	Argentaria	f
eng	Srebrenica	Proper noun	tr	Bosnian town	nld	Srebrenica
eng	Srebrenica	Proper noun	tr	Bosnian town	pol	Srebrenica
eng	Srebrenica	Proper noun	tr	Bosnian town	rus	Сре́бреница	f
eng	Srebrenica	Proper noun	tr	Bosnian town	slk	Srebrenica	f
eng	Sri Jayawardenepura Kotte	Proper noun	tr	the administrative capital of Sri Lanka	ben	শ্রী জয়বর্ধনপুর কোট্টে
eng	Sri Jayawardenepura Kotte	Proper noun	tr	the administrative capital of Sri Lanka	bul	Шри Джаяварданапура Коте
eng	Sri Jayawardenepura Kotte	Proper noun	tr	the administrative capital of Sri Lanka	cat	Sri Jayewardenepura
eng	Sri Jayawardenepura Kotte	Proper noun	tr	the administrative capital of Sri Lanka	ces	Šrí Džajavardanapura Kotte
eng	Sri Jayawardenepura Kotte	Proper noun	tr	the administrative capital of Sri Lanka	cmn	斯里賈亞瓦德納普拉科特	sc=Hani
eng	Sri Jayawardenepura Kotte	Proper noun	tr	the administrative capital of Sri Lanka	cmn	斯里贾亚瓦德纳普拉科特	tr=Sīlǐ Jiǎyàwǎdénàpǔlā Kētè	sc=Hani
