	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	SSBN	Noun	tr	submarine	fra	SNLE
eng	SSD	Noun	tr	solid-state disk	fin	puolijohdelevy
eng	SSD	Noun	tr	solid-state disk	fin	SSD-levy
eng	SSD	Noun	tr	solid-state drive	fin	puolijohdelevy
eng	SSD	Noun	tr	solid-state drive	fin	SSD-asema
eng	SSD	Noun	tr	solid-state drive	fin	SSD-levy
eng	SSD	Noun	tr	solid-state drive	jpn	ソリッドステートドライブ	tr=soriddo sutēto doraibu
eng	SSD	Noun	tr	solid-state drive	por	SSD	m
eng	SSD	Noun	tr	special separation of duty	ell	SSD
eng	SSD	Noun	tr	special separation of duty	fin	tehtävien eriyttäminen
eng	SSE	Noun	tr	abbreviation of south-southeast	hun	DDK
eng	SSE	Noun	tr	abbreviation of south-southeast	por	SSE
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	dan	SSR	c
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	est	NSV
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	fin	SNT
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	hye	ԽՍՀ
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	hye	ՍՍՀ
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	lav	PSR
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	pol	SRR
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	por	RSS	f
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	rus	ССР
eng	SSR	Noun	tr	abbreviation of Soviet Socialist Republic	spa	RSS	f
eng	sss	Interjection	tr	the hiss of a snake or other reptile	cat	sss
eng	sss	Interjection	tr	the hiss of a snake or other reptile	ces	ss
eng	sss	Interjection	tr	the hiss of a snake or other reptile	ces	sss
eng	sss	Interjection	tr	the hiss of a snake or other reptile	rus	ш-ш-ш
eng	sss	Interjection	tr	the hiss of a snake or other reptile	spa	siseo	m
eng	SSW	Noun	tr	abbreviation of south-southwest	hun	D-DNy
eng	SSW	Noun	tr	abbreviation of south-southwest	por	SSO
eng	SSW	Noun	tr	abbreviation of south-southwest	por	SSW
