	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slavdom	Noun	tr	Slavic people collectively, Slavs as a body	pol	słowiaństwo	m
eng	Slavdom	Noun	tr	the area inhabited by Slavs, or with Slavic influence	bel	славяншчына	f
eng	Slavdom	Noun	tr	the area inhabited by Slavs, or with Slavic influence	pol	Słowiańszczyzna	m
eng	Slavdom	Noun	tr	the area inhabited by Slavs, or with Slavic influence	rus	славянщизна	f
eng	Slavdom	Noun	tr	the area inhabited by Slavs, or with Slavic influence	rus	славянщина	f
eng	Slavdom	Noun	tr	the area inhabited by Slavs, or with Slavic influence	ukr	слов'янщина	f
eng	Slavey	Proper noun	tr	a language	den	Dene Kʼe
eng	Slavey	Proper noun	tr	a language	fra	esclave
eng	Slavey	Proper noun	tr	an Athabascan people	den	Dene
eng	Slavey	Proper noun	tr	an Athabascan people	fra	Esclave
eng	Slavia	Proper noun	tr	land of the Slavs	bel	славяншчына	f
eng	Slavia	Proper noun	tr	land of the Slavs	bul	Славия
eng	Slavia	Proper noun	tr	land of the Slavs	ces	Slavie	f
eng	Slavia	Proper noun	tr	land of the Slavs	pol	Słowiańszczyzna	f
eng	Slavia	Proper noun	tr	land of the Slavs	rus	славянщизна	f
eng	Slavia	Proper noun	tr	land of the Slavs	rus	славянщина	f
eng	Slavia	Proper noun	tr	land of the Slavs	ukr	слов'янщина	f
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ara	سْلَافِيّ
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	aze	slavyan
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	bel	славя́нскі
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ben	স্লাভিক
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ben	স্লাভীয়
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	bul	славя́нски
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	cat	eslau
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ces	slovanský
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	chu	словѣньскъ
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	cmn	斯拉夫	tr=sīlāfū
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	cre	slovenski
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	csb	słoviński
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	dan	slavisk
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	deu	slawisch
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	dsb	słowjański
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ell	σλαβικός	sc=Grek
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ell	σλαυικός
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	epo	slava
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	est	slaavi
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	fas	اسلاو	tr=eslâv
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	fin	slaavilainen
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	fra	slave
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	fra	slavon
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	fur	slâf
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	gla	Slàbhach
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	gle	Slavach
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	gle	Slavónach
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	haw	ʻōlelo Selawika
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	haw	Selawika
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	hbs	slàvēnskī
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	hbs	slòvēnskī
