	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	cmn	小麥哲倫星系	sc=Hani
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	cmn	小麦哲伦星系	tr=Xiǎomài Zhélún Xīngxì	sc=Hani
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	fin	Pieni Magellanin pilvi
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	hbs	Мали Магеланов облак	m	tr=Mali Magelanov oblak	sc=Cyrl
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	ita	Piccola Nube di Magellano	f
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	mri	Pātari-kaihau
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	mri	Tīkatakata
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	pkp	Maawu Tokelau
eng	Small Magellanic Cloud	Proper noun	tr	galaxy	swe	Lilla magellanska molnet	n
eng	Smartism	Noun	tr	denomination of the Hindu religion	nld	Smartisme
eng	Smíchov	Proper noun	tr	district of Prague	ces	Smíchov	m
eng	Smíchov	Proper noun	tr	district of Prague	deu	Smichow
eng	Smith	Proper noun	tr	most common surnames by language	ara	حَدَّاد
eng	Smith	Proper noun	tr	most common surnames by language	cat	Garcia
eng	Smith	Proper noun	tr	most common surnames by language	ces	Novák
eng	Smith	Proper noun	tr	most common surnames by language	cmn	王	tr=Wáng	sc=Hani
eng	Smith	Proper noun	tr	most common surnames by language	dan	Jensen
eng	Smith	Proper noun	tr	most common surnames by language	deu	Müller
eng	Smith	Proper noun	tr	most common surnames by language	deu	Schmidt
eng	Smith	Proper noun	tr	most common surnames by language	ell	Βλάχος
eng	Smith	Proper noun	tr	most common surnames by language	ell	Παπαδόπουλος
eng	Smith	Proper noun	tr	most common surnames by language	fin	Korhonen
eng	Smith	Proper noun	tr	most common surnames by language	fin	Virtanen
eng	Smith	Proper noun	tr	most common surnames by language	fra	Martin
eng	Smith	Proper noun	tr	most common surnames by language	glg	Rodríguez
eng	Smith	Proper noun	tr	most common surnames by language	hbs	Horvat
eng	Smith	Proper noun	tr	most common surnames by language	hbs	Хорват	sc=Cyrl
eng	Smith	Proper noun	tr	most common surnames by language	heb	כֹּהֵן	tr=Kōhēn
eng	Smith	Proper noun	tr	most common surnames by language	hin	सिंह
eng	Smith	Proper noun	tr	most common surnames by language	hun	Nagy
eng	Smith	Proper noun	tr	most common surnames by language	hye	Հովհաննիսյան
eng	Smith	Proper noun	tr	most common surnames by language	ita	Rossi
eng	Smith	Proper noun	tr	most common surnames by language	ita	Russo
eng	Smith	Proper noun	tr	most common surnames by language	jpn	佐藤	tr=さとう, Satō
eng	Smith	Proper noun	tr	most common surnames by language	kor	김
eng	Smith	Proper noun	tr	most common surnames by language	lav	Bērziņa	f
eng	Smith	Proper noun	tr	most common surnames by language	lav	Bērziņš	m
eng	Smith	Proper noun	tr	most common surnames by language	nld	de Jong
eng	Smith	Proper noun	tr	most common surnames by language	nld	de Vries
eng	Smith	Proper noun	tr	most common surnames by language	nld	Jansen
eng	Smith	Proper noun	tr	most common surnames by language	pol	Nowak
eng	Smith	Proper noun	tr	most common surnames by language	por	Silva
eng	Smith	Proper noun	tr	most common surnames by language	rus	Смирно́в
eng	Smith	Proper noun	tr	most common surnames by language	slv	Novak
eng	Smith	Proper noun	tr	most common surnames by language	spa	Fernández
eng	Smith	Proper noun	tr	most common surnames by language	spa	García
eng	Smith	Proper noun	tr	most common surnames by language	spa	Hernández
eng	Smith	Proper noun	tr	most common surnames by language	vie	Nguyễn
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ara	حَدَّاد
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	bre	Goff
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	bul	Ковачев	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	cat	Ferrer
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ces	Kovář	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	dan	Smed
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	deu	Schmidt
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	deu	Schmied
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ell	Σιδεράς	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ell	Σιδέρης	f
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	est	Sepp
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	fas	زرگر	tr=zargar
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	fin	Seppä
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	fin	Seppälä
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	fin	Seppäläinen
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	fin	Seppänen
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	fra	Lefébure
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	fra	Lefebvre
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	fra	Lefèvre
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	gla	Mac a' Ghobhainn
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	gle	Mac Gabhann
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	glg	Ferreiro	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	glv	Mac y Ghaauin	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hbs	Kovačević	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hbs	Kovač	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hbs	Ковач	m	sc=Cyrl
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hbs	Ковачевић	m	sc=Cyrl
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hin	लोहार	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hin	सोनी	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hun	Kovács
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hye	Դարբինյան
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	hye	Տարպինյան
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ita	Fabbri
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ita	Ferrari
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ita	Ferraro
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ita	Ferreri
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ita	Ferrero
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ita	Ferri
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ita	Ferro
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	jpn	加治	tr=かじ, Kaji
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	jpn	加治屋	tr=かじや, Kajiya
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	jpn	鍛冶	tr=かじ, Kaji
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	jpn	鍛冶屋	tr=かじや, Kajiya
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	jpn	鍛治	tr=かじ, Kaji
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	jpn	鍛治屋	tr=かじや, Kajiya
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	kat	მჭედლიშვილი
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	lav	Kalēja	f
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	lav	Kalējs	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	lit	Kalvaitis	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	nav	Atsidii
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	nav	Etsiddy
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	nld	Smid
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	nld	Smit
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	nor	Smed
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	oci	Fabre
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	oci	Fabré
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	oci	Faure
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	oci	Fauré
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	pol	Kowal
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	pol	Kowalczuk
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	pol	Kowalczyk
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	pol	Kowalski	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	por	Ferreira	f
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	por	Ferreiro	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	rom	Petulengro
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ron	Fieraru
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	rus	Ковалёв	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	rus	Кузнецо́в	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	slk	Kováčik
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	slk	Kováč	m
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	slv	Kovač
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	slv	Kovačič
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	spa	Herrera
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	spa	Herrero
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	sqi	Nallbani
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	swe	Smed
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	tur	Demirci
eng	Smith	Proper noun	tr	surnames derived from the equivalents of “smith”	ukr	Коваль	m
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	ara	سْمِيث
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	bel	Сміт	m	f
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	bul	Смит	m	f
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	cmn	史密斯	tr=Shǐmìsī	sc=Hani
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	ell	Σμιθ
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	fas	اسمیت	tr=esmit
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	hbs	Smith	m	f
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	hbs	Smit	m	f
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	hbs	Смит	m	f	sc=Cyrl
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	heb	סמית
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	hin	स्मिथ
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	hye	Սմիթ
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	iku	ᔅᒥᑦ	sc=Cans
eng	Smith	Proper noun	tr	transliterations of the name ''Smith''	jpn	スミス	tr=Sumisu
