	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	deu	Séance	f
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	fin	spiritismisessio
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	fra	séance	f	alt=séance de spiritisme
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	heb	העלאה באוב	f
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	hun	szeánsz
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	isl	miðilsfundur	m
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	ita	seduta spiritica	f
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	jpn	神降ろし	tr=kami oroshi
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	mri	kauwhata
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	nld	seance	m	f
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	nob	seanse	m
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	pol	seans	m
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	por	sessão espírita	f
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	rus	сеа́нс	m
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	rus	спирити́ческий сеа́нс	m
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	spa	sesión espiritista	f
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	swe	seans	c
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	tur	seans
eng	séance	Noun	tr	a ceremony where people try to communicate with the spirits	yid	אוב
