	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Sūryaprabha	Proper noun	tr		bod	ཉི་མའི་འོད་
eng	Sūryaprabha	Proper noun	tr		cmn	日光
eng	Sūryaprabha	Proper noun	tr		cmn	日光普照菩薩
eng	Sūryaprabha	Proper noun	tr		cmn	日光菩薩
eng	Sūryaprabha	Proper noun	tr		cmn	日光遍照菩薩
eng	Sūryaprabha	Proper noun	tr		cmn	日曜菩薩
eng	Sūryaprabha	Proper noun	tr		jpn	日光
eng	Sūryaprabha	Proper noun	tr		jpn	日光普照菩薩
eng	Sūryaprabha	Proper noun	tr		jpn	日光菩薩
eng	Sūryaprabha	Proper noun	tr		jpn	日光遍照菩薩
eng	Sūryaprabha	Proper noun	tr		jpn	日照王菩薩
eng	Sūryaprabha	Proper noun	tr		kor	
eng	Sūryaprabha	Proper noun	tr		kor	일광보살
eng	Sūryaprabha	Proper noun	tr		kor	일광보살
eng	Sūryaprabha	Proper noun	tr		kor	일요보살
eng	Sūryaprabha	Proper noun	tr		san	सूर्यप्रभ
eng	Sūryaprabha	Proper noun	tr		vie	Nhật Quang Bồ Tát
