	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	T-bar	Noun	tr	ski lift	deu	Schlepplift	m
eng	T-bar	Noun	tr	ski lift	fin	ankkurihissi
eng	T-bar	Noun	tr	ski lift	fra	arbalète
eng	T-bar	Noun	tr	ski lift	pol	orczyk	m-in
eng	T-bar	Noun	tr	ski lift	pol	wyciąg orczykowy	m-in
eng	T-beam	Noun	tr	structural member with a cross section shaped like the letter T	pol	teownik	m
eng	T-beam	Noun	tr	structural member with a cross section shaped like the letter T	rus	тавр	m
eng	T-bone steak	Noun	tr	the beek steak	chy	tsé-tónovo'eše ho'évohkôtse
eng	T-bone steak	Noun	tr	the beek steak	cmn	丁骨牛排	tr=dīnggǔ niúpái	sc=Hani
eng	T-bone steak	Noun	tr	the beek steak	deu	Porterhouse-Steak	n
eng	T-bone steak	Noun	tr	the beek steak	deu	T-Bone-Steak	n
eng	T-bone steak	Noun	tr	the beek steak	ell	μπριζόλα σε κόκαλο	f	sc=Grek
eng	T-bone steak	Noun	tr	the beek steak	fin	T-luupihvi
eng	T-bone steak	Noun	tr	the beek steak	fra	bifteck d'aloyau	m
eng	T-bone steak	Noun	tr	the beek steak	ind	tulang T
eng	T-bone steak	Noun	tr	the beek steak	ita	costata	f
eng	T-bone steak	Noun	tr	the beek steak	ita	fiorentina	f
eng	T-bone steak	Noun	tr	the beek steak	jpn	ティーボーンステーキ	tr=tī bōn sutēki	sc=Jpan
eng	T-bone steak	Noun	tr	the beek steak	kor	티본 스테이크	sc=Kore
eng	T-bone steak	Noun	tr	the beek steak	pol	stek na kości	m
eng	T-bone steak	Noun	tr	the beek steak	por	bisteca	f
eng	T-bone steak	Noun	tr	the beek steak	por	chuleta	f
eng	T-bone steak	Noun	tr	the beek steak	rus	бифште́кс с ко́сточкой	m	sc=Cyrl
eng	T-bone steak	Noun	tr	the beek steak	rus	стейк на ко́сточке	m	sc=Cyrl
eng	T-bone steak	Noun	tr	the beek steak	spa	filete T-bone	m
eng	T-bone steak	Noun	tr	the beek steak	spa	T-bone	m
eng	T-bone steak	Noun	tr	the beek steak	swe	T-benstek	c
eng	T-bone steak	Noun	tr	the beek steak	tur	T-kemikli biftek
eng	T-bone steak	Noun	tr	the beek steak	yue	T骨牛扒	tr=ti1 gwat1 ngau4 paa2	sc=Hani
eng	T-form	Noun	tr	informal second-person pronoun	fin	sinuttelumuoto
eng	T-junction	Noun	tr	junction in the shape of a T	ces	styková křižovatka
eng	T-junction	Noun	tr	junction in the shape of a T	cmn	丁字街	tr=dīngzìjiē
eng	T-junction	Noun	tr	junction in the shape of a T	cmn	丁字路口	tr=dīngzì lùkǒu
eng	T-junction	Noun	tr	junction in the shape of a T	dan	T-kryds	n
eng	T-junction	Noun	tr	junction in the shape of a T	fas	سه‌راهی	tr=se-râhi
eng	T-junction	Noun	tr	junction in the shape of a T	fin	T-risteys
eng	T-junction	Noun	tr	junction in the shape of a T	gle	T-acomhal	m
eng	T-junction	Noun	tr	junction in the shape of a T	jpn	T字路	tr=tījiro
eng	T-junction	Noun	tr	junction in the shape of a T	jpn	丁字路	tr=teijiro
eng	T-junction	Noun	tr	junction in the shape of a T	nld	T-kruising
eng	T-junction	Noun	tr	junction in the shape of a T	nno	T-kryss	n
eng	T-junction	Noun	tr	junction in the shape of a T	nob	T-kryss	n
eng	T-junction	Noun	tr	junction in the shape of a T	spa	unión en T	m
eng	T-junction	Noun	tr	similarly shaped section in a pipe, etc.	cmn	T型接合	tr=T-xíng jiēhé
eng	T-junction	Noun	tr	similarly shaped section in a pipe, etc.	dan	T-rør	n
eng	T-junction	Noun	tr	similarly shaped section in a pipe, etc.	fin	T-liitos
eng	T-junction	Noun	tr	similarly shaped section in a pipe, etc.	spa	unión en T	m
eng	T-piece	Noun	tr	pipe connector	deu	T-Stück	n
eng	T-shaped	Adjective	tr	having a shape similar to a capital letter T	cmn	丁字	tr=dīngzì	sc=Hani
eng	T-shaped	Adjective	tr	having a shape similar to a capital letter T	dan	T-formet
eng	T-shaped	Adjective	tr	having a shape similar to a capital letter T	nob	T-formet
eng	T-shaped	Adjective	tr	having a shape similar to a capital letter T	rus	Т-обра́зный
eng	T-shirt	Noun	tr	type of shirt	afb	تيشيرت	m	tr=tīšērt
eng	T-shirt	Noun	tr	type of shirt	afr	T-hemp
eng	T-shirt	Noun	tr	type of shirt	ara	تِي شِيرْت	m
eng	T-shirt	Noun	tr	type of shirt	arz	تشرت	m	tr=tešert	sc=Arab
eng	T-shirt	Noun	tr	type of shirt	bel	тэ́ніска	f
eng	T-shirt	Noun	tr	type of shirt	bel	футбо́лка	f
eng	T-shirt	Noun	tr	type of shirt	bel	цішо́тка	f
eng	T-shirt	Noun	tr	type of shirt	ben	গেঞ্জি	sc=Beng
eng	T-shirt	Noun	tr	type of shirt	ben	টি-শার্ট	sc=Beng
eng	T-shirt	Noun	tr	type of shirt	bul	те́ниска	f
eng	T-shirt	Noun	tr	type of shirt	cat	samarreta	f
eng	T-shirt	Noun	tr	type of shirt	ces	tričko	n
eng	T-shirt	Noun	tr	type of shirt	ces	triko	n
eng	T-shirt	Noun	tr	type of shirt	cmn	T恤	tr=tī-xù	sc=Hani
eng	T-shirt	Noun	tr	type of shirt	cmn	T恤衫	tr=tī-xùshān	sc=Hani
