	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Tlacoachistlahuaca	Proper noun	tr	city	spa	Tlacoachistlahuaca
eng	Tlacoachistlahuaca	Proper noun	tr	municipality	spa	Tlacoachistlahuaca
eng	Tlaloc	Proper noun	tr	Aztec rain god	nci	Tlāloc
eng	Tlaloc	Proper noun	tr	Aztec rain god	ppl	Tlalok
eng	Tlaloc	Proper noun	tr	Aztec rain god	spa	Tláloc
eng	tlaquimilolli	Noun	tr	a sacred bundle	fra	tlaquimilolli
eng	tlaquimilolli	Noun	tr	a sacred bundle	spa	tlaquimilolli
eng	Tlaxcala	Proper noun	tr	state of Mexico	nci	Tlaxcallān
eng	Tlaxcala	Proper noun	tr	state of Mexico	spa	Tlaxcala	m
eng	Tlaxiaco	Proper noun	tr	city	azg	Suquitsui
eng	Tlaxiaco	Proper noun	tr	city	mjc	Tsi Nuu
eng	Tlaxiaco	Proper noun	tr	city	mjc	Tsitsi Nuu
eng	Tlaxiaco	Proper noun	tr	city	mpm	Ndijinuu
eng	Tlaxiaco	Proper noun	tr	city	mpm	Ndinuu
eng	Tlaxiaco	Proper noun	tr	city	nci	Tlachquiyauhco
eng	Tlaxiaco	Proper noun	tr	city	omq-tel	Disinuu
eng	Tlaxiaco	Proper noun	tr	city	omq-tel	ndījinu
eng	Tlaxiaco	Proper noun	tr	city	spa	Heroica Ciudad de Tlaxiaco
eng	Tlaxiaco	Proper noun	tr	city	spa	Tlaxiaco
eng	Tlaxiaco	Proper noun	tr	district	spa	Tlaxiaco
eng	Tlaxiaco	Proper noun	tr	municipality	spa	Heroica Ciudad de Tlaxiaco
eng	Tlaxiaco	Proper noun	tr	municipality	spa	Tlaxiaco
eng	tl;dr	Phrase	tr	too long didn't read	deu	zl;ng
eng	tl;dr	Phrase	tr	too long didn't read	epo	tl;nl
eng	tl;dr	Phrase	tr	too long didn't read	fin	lp;el
eng	tl;dr	Phrase	tr	too long didn't read	fra	tl;nlp
eng	tl;dr	Phrase	tr	too long didn't read	heb	אמ;לק
eng	tl;dr	Phrase	tr	too long didn't read	ita	tal;nhl
eng	tl;dr	Phrase	tr	too long didn't read	nld	tl;hng
eng	tl;dr	Phrase	tr	too long didn't read	pol	zd;nc
eng	tl;dr	Phrase	tr	too long didn't read	por	dt;nl
eng	tl;dr	Phrase	tr	too long didn't read	rus	см;нч
eng	Tlingit	Adjective	tr	relating to these people or their language	rus	тлинги́тский
eng	Tlingit	Noun	tr	person	rus	тлинки́т	m
eng	Tlingit	Proper noun	tr	language	gle	Clincitis	f
eng	Tlingit	Proper noun	tr	language	rus	тлинги́тский
eng	Tlingit	Proper noun	tr	language	tli	Lingít
