	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Tbilisian	Adjective	tr	relating to Tbilisi	mkd	тбилисиски
eng	Tbilisian	Adjective	tr	relating to Tbilisi	rus	тбилисский
eng	Tbilisian	Noun	tr	person from Tbilisi	mkd	тбилисиец	m
eng	Tbilisian	Noun	tr	person from Tbilisi	mkd	тбилисијка	f
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	abk	Қарҭ
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	amh	ትብሊሲ
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	ara	تِبِلِيسِي	f
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	ara	تِفْلِيس	f
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	arc	ܛܒܝܠܝܣܝ
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	ast	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	ava	Тбилиси
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	ava	Тулпис
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	aze	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	bak	Тбилиси
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	bbl	ქალიქ
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	bel	Тбілі́сі	m
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	bel	Тыфлі́с	m
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	ben	তিবিলিসি
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	bod	ཁྲེ་བྷི་ལི་སི
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	bre	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	bul	Тбили́си	n
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	cat	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	ces	Tbilisi	n
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	che	Тиблиси
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	chv	Тбилиси
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	cmn	第比利斯	tr=Dìbǐlìsī
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	dan	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	deu	Tbilissi	n
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	deu	Tiflis	n
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	ell	Τιφλίδα	f
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	epo	Tbiliso
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	est	Thbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	eus	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	fas	تبیلیسی	tr=tibilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	fas	تفلیس	tr=teflis
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	fin	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	fra	Tbilissi	f
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	frp	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	fry	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	gla	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	glg	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	hat	Tbilisi
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	hbs	Tbilisi	n
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	hbs	Тбилиси	n
eng	Tbilisi	Proper noun	tr	the capital city of Georgia (the country)	heb	טְבִּילִיסִי	f	tr=tbilisi
