	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Thaana	Proper noun	tr	writing system of Dhivehi	div	ތާނަ
eng	Thaana	Proper noun	tr	writing system of Dhivehi	rus	та́на	f
eng	Thaddaeus	Proper noun	tr	male given name	ces	Tadeáš	m
eng	Thaddaeus	Proper noun	tr	male given name	epo	Tadeo
eng	Thaddaeus	Proper noun	tr	male given name	fra	Thadée	m
eng	Thaddaeus	Proper noun	tr	male given name	hun	Tádé
eng	Thaddaeus	Proper noun	tr	male given name	hye	Թադեւոս
eng	Thaddaeus	Proper noun	tr	male given name	ita	Taddeo	m
eng	Thaddaeus	Proper noun	tr	male given name	nld	Thaddeüs	m
eng	Thaddaeus	Proper noun	tr	male given name	pol	Tadeusz
eng	Thaddaeus	Proper noun	tr	male given name	por	Tadeu
eng	Thaddaeus	Proper noun	tr	male given name	por	Thadeu
eng	Thaddaeus	Proper noun	tr	male given name	rus	Фадде́й	m
eng	Thaddaeus	Proper noun	tr	male given name	spa	Tadeo
eng	Thaddaeus	Proper noun	tr	male given name	tir	ታዴዎስ
eng	Thaddaeus	Proper noun	tr	the Apostle	ces	Tadeáš	m
eng	Thaddaeus	Proper noun	tr	the Apostle	cmn	达太	tr=Dátài
eng	Thaddaeus	Proper noun	tr	the Apostle	cmn	达陡	tr=Dádǒu
eng	Thaddaeus	Proper noun	tr	the Apostle	cmn	達太
eng	Thaddaeus	Proper noun	tr	the Apostle	cmn	達陡
eng	Thaddaeus	Proper noun	tr	the Apostle	deu	Thaddäus
eng	Thaddaeus	Proper noun	tr	the Apostle	fra	Thaddée
eng	Thaddaeus	Proper noun	tr	the Apostle	heb	תדיאוס
eng	Thaddaeus	Proper noun	tr	the Apostle	hun	Tádé
eng	Thaddaeus	Proper noun	tr	the Apostle	hye	Թադեոս
eng	Thaddaeus	Proper noun	tr	the Apostle	ita	Taddeo	m
eng	Thaddaeus	Proper noun	tr	the Apostle	jpn	タダイ	tr=Tadai
eng	Thaddaeus	Proper noun	tr	the Apostle	kor	^타대오
eng	Thaddaeus	Proper noun	tr	the Apostle	nld	Thaddeüs	m
eng	Thaddaeus	Proper noun	tr	the Apostle	pol	Tadeusz	m
eng	Thaddaeus	Proper noun	tr	the Apostle	por	Tadeu
eng	Thaddaeus	Proper noun	tr	the Apostle	rus	Фадде́й	m
eng	Thaddaeus	Proper noun	tr	the Apostle	spa	Tadeo
eng	Thaddaeus	Proper noun	tr	the Apostle	tir	ታዴዎስ
eng	Thaddaeus	Proper noun	tr	the Apostle	vie	Tađêô
eng	Thaddaeus	Proper noun	tr	the Apostle	vie	Thanh Diêu
eng	Thaddaeus	Proper noun	tr	the Apostle	yue	达太	tr=daat6 taai3
eng	Thaddaeus	Proper noun	tr	the Apostle	yue	达陡	tr=daat6 dau2
eng	Thaddaeus	Proper noun	tr	the Apostle	yue	達太
eng	Thaddaeus	Proper noun	tr	the Apostle	yue	達陡
eng	Thai	Adjective	tr	of or pertaining to Thailand	ara	تَايْلَانْدِيّ‎	tr=taylandiyy
