	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Tlacoachistlahuaca	Proper noun	tr	city	spa	Tlacoachistlahuaca
eng	Tlacoachistlahuaca	Proper noun	tr	municipality	spa	Tlacoachistlahuaca
eng	Tlaloc	Proper noun	tr	Aztec rain god	nci	Tlāloc
eng	Tlaloc	Proper noun	tr	Aztec rain god	ppl	Tlalok
eng	Tlaloc	Proper noun	tr	Aztec rain god	spa	Tláloc
eng	Tlaxcala	Proper noun	tr	state of Mexico	nci	Tlaxcallān
eng	Tlaxcala	Proper noun	tr	state of Mexico	spa	Tlaxcala	m
eng	Tlaxiaco	Proper noun	tr	city	azg	Suquitsui
eng	Tlaxiaco	Proper noun	tr	city	mjc	Tsi Nuu
eng	Tlaxiaco	Proper noun	tr	city	mjc	Tsitsi Nuu
eng	Tlaxiaco	Proper noun	tr	city	mpm	Ndijinuu
eng	Tlaxiaco	Proper noun	tr	city	mpm	Ndinuu
eng	Tlaxiaco	Proper noun	tr	city	nci	Tlachquiyauhco
eng	Tlaxiaco	Proper noun	tr	city	omq-tel	Disinuu
eng	Tlaxiaco	Proper noun	tr	city	omq-tel	ndījinu
eng	Tlaxiaco	Proper noun	tr	city	spa	Heroica Ciudad de Tlaxiaco
eng	Tlaxiaco	Proper noun	tr	city	spa	Tlaxiaco
eng	Tlaxiaco	Proper noun	tr	district	spa	Tlaxiaco
eng	Tlaxiaco	Proper noun	tr	municipality	spa	Heroica Ciudad de Tlaxiaco
eng	Tlaxiaco	Proper noun	tr	municipality	spa	Tlaxiaco
eng	Tlingit	Adjective	tr	relating to these people or their language	rus	тлинги́тский
eng	Tlingit	Noun	tr	person	rus	тлинки́т	m
eng	Tlingit	Proper noun	tr	language	gle	Clincitis	f
eng	Tlingit	Proper noun	tr	language	rus	тлинги́тский
eng	Tlingit	Proper noun	tr	language	tli	Lingít
