	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Tübingen	Proper noun	tr	city in Swabia	deu	Tübingen	n
eng	Tübingen	Proper noun	tr	city in Swabia	ell	Τυβίγγη	f
eng	Tübingen	Proper noun	tr	city in Swabia	fin	Tübingen
eng	Tübingen	Proper noun	tr	city in Swabia	fra	Tübinghen
eng	Tübingen	Proper noun	tr	city in Swabia	hun	Tübingen
eng	Tübingen	Proper noun	tr	city in Swabia	nld	Tübingen	n
eng	Tübingen	Proper noun	tr	city in Swabia	swg	Dibenga
eng	Türkmenabat	Proper noun	tr	city in Turkmenistan	aze	Türkmənabad
eng	Türkmenabat	Proper noun	tr	city in Turkmenistan	fas	ترکمن‌آباد	tr=Torkaman-âbâd	sc=fa-Arab
eng	Türkmenabat	Proper noun	tr	city in Turkmenistan	mon	Түркменабат	sc=Cyrl
eng	Türkmenabat	Proper noun	tr	city in Turkmenistan	rus	Туркменаба́д
eng	Türkmenabat	Proper noun	tr	city in Turkmenistan	tuk	Türkmenabat
eng	Türkmenabat	Proper noun	tr	city in Turkmenistan	tur	Türkmenabat
eng	Türkmenabat	Proper noun	tr	city in Turkmenistan	uzb	Turkmanobod
