	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	cmn	托尔斯港	tr=Tuō'ěrsīgǎng
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	cmn	托爾斯港
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	dan	Thorshavn
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	dan	Torshavn	c
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	fao	Tórshavn	f
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	fra	Torshavn
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	glv	Tórshavn
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	isl	Þórshöfn	f
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	lav	Touršhavna	f
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	lit	Torshaunas	m
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	non	Þórshǫfn	f
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	pol	Thorshavn	n
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	por	Thorshavn	f
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	por	Torshavn	f
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	por	Tórshavn	f
eng	Tórshavn	Proper noun	tr	Capital of the Faroe Islands	swe	Torshamn
