	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	U-bend	Noun	tr	a U-shaped bend	ell	σιφόνι	n
eng	U-bend	Noun	tr	a U-shaped bend	gle	U-lúb	f
eng	U-bolt	Noun	tr	a metal fixing in the shape of the letter U	gle	U-bholta	m
eng	U-bolt	Noun	tr	a metal fixing in the shape of the letter U	glv	U-volt	m
eng	U-bolt	Noun	tr	a metal fixing in the shape of the letter U	isl	baula	f
eng	U-shaped	Adjective	tr	shaped like the letter U	dan	U-formet
eng	U-shaped	Adjective	tr	shaped like the letter U	deu	u-förmig
eng	U-shaped	Adjective	tr	shaped like the letter U	deu	U-förmig
eng	U-shaped	Adjective	tr	shaped like the letter U	gle	U-chruthach
eng	U-shaped	Adjective	tr	shaped like the letter U	nob	U-formet
eng	u-stem	Noun	tr	Translations	ces	u-kmen	m
eng	u-stem	Noun	tr	Translations	deu	u-Stamm	m
eng	U-turn	Noun	tr	reversal of policy	ces	obrat o 180 stupňů	m
eng	U-turn	Noun	tr	reversal of policy	dan	U-vending	c
eng	U-turn	Noun	tr	reversal of policy	deu	180-Grad-Drehung	f
eng	U-turn	Noun	tr	reversal of policy	deu	180-Grad-Wende	f
eng	U-turn	Noun	tr	reversal of policy	deu	Hundertachtziggraddrehung	f
eng	U-turn	Noun	tr	reversal of policy	deu	Hundertachtziggradwende	f
eng	U-turn	Noun	tr	reversal of policy	deu	Kehrtwende	f
eng	U-turn	Noun	tr	reversal of policy	fra	demi-tour	m
eng	U-turn	Noun	tr	reversal of policy	fra	marche arrière	f
eng	U-turn	Noun	tr	reversal of policy	fra	revirement	m
eng	U-turn	Noun	tr	reversal of policy	fra	volte-face	f
eng	U-turn	Noun	tr	reversal of policy	nld	rechtsomkeert
eng	U-turn	Noun	tr	reversal of policy	nno	u-sving	m
eng	U-turn	Noun	tr	reversal of policy	nno	U-sving	m
eng	U-turn	Noun	tr	reversal of policy	nob	u-sving	m
eng	U-turn	Noun	tr	reversal of policy	nob	U-sving	m
eng	U-turn	Noun	tr	reversal of policy	por	reviravolta	f
eng	U-turn	Noun	tr	semi-circular turn	ces	obrat o 180 stupňů	m
eng	U-turn	Noun	tr	semi-circular turn	cmn	轉頭	sc=Hani
eng	U-turn	Noun	tr	semi-circular turn	cmn	转头	tr=zhuàntoú	sc=Hani
eng	U-turn	Noun	tr	semi-circular turn	dan	U-vending	c
eng	U-turn	Noun	tr	semi-circular turn	deu	Fahrtrichtungswechsel	m
eng	U-turn	Noun	tr	semi-circular turn	deu	Kehrtwende	f
eng	U-turn	Noun	tr	semi-circular turn	deu	Wenden	n
eng	U-turn	Noun	tr	semi-circular turn	fao	U-sving
eng	U-turn	Noun	tr	semi-circular turn	fin	U-käännös
eng	U-turn	Noun	tr	semi-circular turn	fra	demi-tour	m
eng	U-turn	Noun	tr	semi-circular turn	fra	retournement	m
eng	U-turn	Noun	tr	semi-circular turn	fra	volte-face	f
eng	U-turn	Noun	tr	semi-circular turn	isl	U-beygja	f
eng	U-turn	Noun	tr	semi-circular turn	jpn	Uターン	tr=yūtān	alt=Ｕターン	sc=Jpan
eng	U-turn	Noun	tr	semi-circular turn	kat	180-იანი ბრუნი
eng	U-turn	Noun	tr	semi-circular turn	kor	유턴	sc=Kore
eng	U-turn	Noun	tr	semi-circular turn	nld	U-bocht	m	f
eng	U-turn	Noun	tr	semi-circular turn	nno	u-sving	m
eng	U-turn	Noun	tr	semi-circular turn	nno	U-sving	m
eng	U-turn	Noun	tr	semi-circular turn	nob	u-sving	m
eng	U-turn	Noun	tr	semi-circular turn	nob	U-sving	m
eng	U-turn	Noun	tr	semi-circular turn	rus	поворо́т круго́м	m
eng	U-turn	Noun	tr	semi-circular turn	rus	разворо́т	m
eng	U-turn	Noun	tr	semi-circular turn	spa	cambio de sentido	m
eng	U-turn	Noun	tr	semi-circular turn	spa	viraje en u	m
eng	U-turn	Noun	tr	semi-circular turn	spa	vuelta en u	f
eng	U-turn	Noun	tr	semi-circular turn	swe	U-sväng	c
eng	U-turn	Noun	tr	semi-circular turn	tgl	likong pabalik
eng	U-turn	Noun	tr	semi-circular turn	tur	U-dönüşü
