	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Uab Meto	Proper noun	tr	Uab Meto language	aoz	Uab Metô
eng	Uab Meto	Proper noun	tr	Uab Meto language	tet	lia-Meto
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	aze	BƏƏ
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	cmn	阿联酋	tr=Ā-lián-qiú	sc=Hani
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	cmn	阿聯酋	sc=Hani
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	deu	VAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	ell	ΗΑΕ	n-p
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	epo	UAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	est	AÜE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	fra	EAU
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	hbs	UAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	hbs	УАЕ
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	hye	ԱՄԷ
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	por	EAU	m-p
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	rus	ОАЭ	m-p
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	slk	SAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	slv	ZAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	spa	EAU
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	tur	BAE
eng	Ualapue	Proper noun	tr		haw	ʻUalapuʻe
eng	UAV	Noun	tr	unmanned aerial vehicle	aze	PUA
eng	UAV	Noun	tr	unmanned aerial vehicle	deu	Drohne	f
eng	UAV	Noun	tr	unmanned aerial vehicle	deu	unbemanntes Fluggerät	n
eng	UAV	Noun	tr	unmanned aerial vehicle	deu	unbemanntes Kleinfluggerät	n
eng	UAV	Noun	tr	unmanned aerial vehicle	deu	unbemanntes Luftfahrzeug	n
eng	UAV	Noun	tr	unmanned aerial vehicle	epo	senpilota aviadilo
eng	UAV	Noun	tr	unmanned aerial vehicle	fra	véhicule aérien sans pilote à bord	m
eng	UAV	Noun	tr	unmanned aerial vehicle	hye	ԱԹՍ
eng	UAV	Noun	tr	unmanned aerial vehicle	hye	անօդաչու թռչող սարք
eng	UAV	Noun	tr	unmanned aerial vehicle	mri	matatopa
eng	UAV	Noun	tr	unmanned aerial vehicle	mri	waka matatopa
eng	UAV	Noun	tr	unmanned aerial vehicle	tur	insansız hava aracı
eng	ubac	Noun	tr	a shady slope i.e. facing away from the sun	cat	obaga	f
eng	ubac	Noun	tr	a shady slope i.e. facing away from the sun	cmn	山阴	tr=shānyīn	sc=Hani
eng	ubac	Noun	tr	a shady slope i.e. facing away from the sun	cmn	山陰	sc=Hani
eng	ubac	Noun	tr	a shady slope i.e. facing away from the sun	deu	Winterhalde	f
eng	ubac	Noun	tr	a shady slope i.e. facing away from the sun	fra	ubac	m
eng	ubac	Noun	tr	a shady slope i.e. facing away from the sun	kor	산음
eng	ubac	Noun	tr	a shady slope i.e. facing away from the sun	mri	anganga maru
eng	ubac	Noun	tr	a shady slope i.e. facing away from the sun	spa	umbría	f
eng	U-bend	Noun	tr	a U-shaped bend	ell	σιφόνι	n
eng	U-bend	Noun	tr	a U-shaped bend	gle	U-lúb	f
eng	uberisation	Noun	tr	utilisation of data platforms to bypass centrally planned corporations	fin	überisaatio
eng	uberize	Verb	tr		fra	ubériser
eng	uberly	Adverb	tr	significantlly, very much, extremely	fin	ylen
eng	uberly	Adverb	tr	significantlly, very much, extremely	fin	yli-
eng	Uber	Noun	tr	car ride requested using Uber	spa	uber	m
eng	uber-	Prefix	tr	slang: super, really, mega-	dan	hyper-
eng	uber-	Prefix	tr	slang: super, really, mega-	dan	mega-
eng	uber-	Prefix	tr	slang: super, really, mega-	dan	over-
eng	uber-	Prefix	tr	slang: super, really, mega-	dan	super-
eng	uber-	Prefix	tr	slang: super, really, mega-	deu	mega-
eng	uber-	Prefix	tr	slang: super, really, mega-	deu	ober-
eng	uber-	Prefix	tr	slang: super, really, mega-	deu	über-
eng	uber-	Prefix	tr	slang: super, really, mega-	fin	super-
eng	uber-	Prefix	tr	slang: super, really, mega-	fin	über-
eng	uber-	Prefix	tr	slang: super, really, mega-	fra	mega-
eng	uber-	Prefix	tr	slang: super, really, mega-	fra	super-
eng	uber-	Prefix	tr	slang: super, really, mega-	hun	über
eng	uber-	Prefix	tr	slang: super, really, mega-	spa	mega-
eng	uber-	Prefix	tr	slang: super, really, mega-	spa	super-
eng	ubication	Noun	tr	condition or fact of being in, or occupying, a certain place or position	por	ubicação	f
eng	ubiety	Noun	tr	the state of existing in a specific point in space	gle	láithreacht	f
eng	UBI	Noun	tr	Initialism of universal basic income	cmn	全民基本收入	tr=quánmín jīběn shōurù
eng	UBI	Noun	tr	Initialism of universal basic income	cmn	基本收入	tr=jīběn shōurù
eng	UBI	Noun	tr	Initialism of universal basic income	deu	BGE	n
eng	UBI	Noun	tr	Initialism of universal basic income	fin	perustulo
eng	ubiquitin	Noun	tr	small polypeptide	bak	убиквитин
eng	ubiquitin	Noun	tr	small polypeptide	bul	убиквитин
eng	ubiquitin	Noun	tr	small polypeptide	cmn	泛素	tr=fànsù
eng	ubiquitin	Noun	tr	small polypeptide	fas	یوبیکوتین
eng	ubiquitin	Noun	tr	small polypeptide	fra	ubiquitine	f
eng	ubiquitin	Noun	tr	small polypeptide	hye	ուբիքվիտին
eng	ubiquitin	Noun	tr	small polypeptide	ind	ubikitinasi
eng	ubiquitin	Noun	tr	small polypeptide	ita	ubiquitina	f
eng	ubiquitin	Noun	tr	small polypeptide	jpn	ユビキチン	tr=yubikichin
eng	ubiquitin	Noun	tr	small polypeptide	kaz	убиквитин
eng	ubiquitin	Noun	tr	small polypeptide	kir	убиквитин
eng	ubiquitin	Noun	tr	small polypeptide	kor	유비퀴틴
eng	ubiquitin	Noun	tr	small polypeptide	lat	ubiquitinum	n
eng	ubiquitin	Noun	tr	small polypeptide	spa	ubiquitina	f
eng	ubiquitin	Noun	tr	small polypeptide	tur	ubikuitin
eng	ubiquitous	Adjective	tr	being everywhere	afr	alomteenwoordig
eng	ubiquitous	Adjective	tr	being everywhere	cat	ubic
eng	ubiquitous	Adjective	tr	being everywhere	ces	všudypřítomný
eng	ubiquitous	Adjective	tr	being everywhere	cmn	无处不在	alt=无处不在的	tr=wúchùbùzài de
eng	ubiquitous	Adjective	tr	being everywhere	cmn	无所不在	alt=无所不在的	tr=wúsuǒbùzài de
eng	ubiquitous	Adjective	tr	being everywhere	cmn	無所不在	alt=無所不在的
eng	ubiquitous	Adjective	tr	being everywhere	cmn	無處不在	alt=無處不在的
eng	ubiquitous	Adjective	tr	being everywhere	dan	allestedsnærværende
eng	ubiquitous	Adjective	tr	being everywhere	deu	allgegenwärtig
eng	ubiquitous	Adjective	tr	being everywhere	deu	überall verbreitet
eng	ubiquitous	Adjective	tr	being everywhere	deu	überall vorhanden
eng	ubiquitous	Adjective	tr	being everywhere	deu	ubiquitär
eng	ubiquitous	Adjective	tr	being everywhere	ell	πανταχού παρών
eng	ubiquitous	Adjective	tr	being everywhere	fas	همه جا	tr=hame jâ
eng	ubiquitous	Adjective	tr	being everywhere	fin	kaikkialla läsnä oleva
eng	ubiquitous	Adjective	tr	being everywhere	fin	ubiikki
eng	ubiquitous	Adjective	tr	being everywhere	fin	yleisesti levinnyt
eng	ubiquitous	Adjective	tr	being everywhere	fra	omniprésent
eng	ubiquitous	Adjective	tr	being everywhere	fra	ubiquiste
eng	ubiquitous	Adjective	tr	being everywhere	fra	ubiquitaire
eng	ubiquitous	Adjective	tr	being everywhere	glg	ubicuo
eng	ubiquitous	Adjective	tr	being everywhere	hun	mindenütt jelen levő
eng	ubiquitous	Adjective	tr	being everywhere	ita	onnipresente
eng	ubiquitous	Adjective	tr	being everywhere	ita	ubiquitario
eng	ubiquitous	Adjective	tr	being everywhere	jpn	遍在	alt=遍在する	tr=へんざいする, henzai suru
eng	ubiquitous	Adjective	tr	being everywhere	kat	გავრცელებული
eng	ubiquitous	Adjective	tr	being everywhere	kat	ყველგან არსებული
eng	ubiquitous	Adjective	tr	being everywhere	kat	ყველგან მყოფი
eng	ubiquitous	Adjective	tr	being everywhere	lat	ens ubique
eng	ubiquitous	Adjective	tr	being everywhere	lat	ens undique
eng	ubiquitous	Adjective	tr	being everywhere	lat	omnipraesens
eng	ubiquitous	Adjective	tr	being everywhere	lat	ubique
eng	ubiquitous	Adjective	tr	being everywhere	mkd	сепри́сутен
eng	ubiquitous	Adjective	tr	being everywhere	nld	alomtegenwoordig
eng	ubiquitous	Adjective	tr	being everywhere	nno	allstadnærværande
eng	ubiquitous	Adjective	tr	being everywhere	nob	allestedsnærværende
eng	ubiquitous	Adjective	tr	being everywhere	oci	omnipresent
eng	ubiquitous	Adjective	tr	being everywhere	oci	ubic
eng	ubiquitous	Adjective	tr	being everywhere	oci	ubiquïsta
eng	ubiquitous	Adjective	tr	being everywhere	oci	ubiquïtari
eng	ubiquitous	Adjective	tr	being everywhere	pol	wszechobecny
eng	ubiquitous	Adjective	tr	being everywhere	pol	wszędobylski
eng	ubiquitous	Adjective	tr	being everywhere	por	omnipresente
eng	ubiquitous	Adjective	tr	being everywhere	por	onipresente
eng	ubiquitous	Adjective	tr	being everywhere	por	ubíquo
eng	ubiquitous	Adjective	tr	being everywhere	ron	omniprezent
eng	ubiquitous	Adjective	tr	being everywhere	ron	ubicuu
eng	ubiquitous	Adjective	tr	being everywhere	rus	вездесу́щий
eng	ubiquitous	Adjective	tr	being everywhere	spa	ubicuo
eng	ubiquitous	Adjective	tr	being everywhere	swe	allestädes närvarande
eng	ubiquitous	Adjective	tr	being everywhere	swe	allmänt utbredd
eng	ubiquitous	Adjective	tr	being everywhere	tur	aynı zamanda her yerde bulunan
eng	ubiquitous	Adjective	tr	being everywhere	tur	hazır ve nazır	alt=hâzır ve nâzır
eng	ubiquitous	Adjective	tr	being everywhere	ukr	повсю́дний
