	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Uab Meto	Proper noun	tr	Uab Meto language	aoz	Uab Metô
eng	Uab Meto	Proper noun	tr	Uab Meto language	tet	lia-Meto
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	aze	BƏƏ
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	cmn	阿联酋	tr=Ā-lián-qiú	sc=Hani
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	cmn	阿聯酋	sc=Hani
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	deu	VAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	ell	ΗΑΕ	n-p
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	epo	UAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	est	AÜE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	fra	EAU
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	hbs	UAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	hbs	УАЕ
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	hye	ԱՄԷ
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	por	EAU	m-p
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	rus	ОАЭ	m-p
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	slk	SAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	slv	ZAE
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	spa	EAU
eng	UAE	Proper noun	tr	initialism of United Arab Emirates	tur	BAE
eng	Ualapue	Proper noun	tr		haw	ʻUalapuʻe
eng	UAV	Noun	tr	unmanned aerial vehicle	aze	PUA
eng	UAV	Noun	tr	unmanned aerial vehicle	deu	Drohne	f
eng	UAV	Noun	tr	unmanned aerial vehicle	deu	unbemanntes Fluggerät	n
eng	UAV	Noun	tr	unmanned aerial vehicle	deu	unbemanntes Kleinfluggerät	n
eng	UAV	Noun	tr	unmanned aerial vehicle	deu	unbemanntes Luftfahrzeug	n
eng	UAV	Noun	tr	unmanned aerial vehicle	epo	senpilota aviadilo
eng	UAV	Noun	tr	unmanned aerial vehicle	fra	véhicule aérien sans pilote à bord	m
eng	UAV	Noun	tr	unmanned aerial vehicle	hye	ԱԹՍ
eng	UAV	Noun	tr	unmanned aerial vehicle	hye	անօդաչու թռչող սարք
eng	UAV	Noun	tr	unmanned aerial vehicle	mri	matatopa
eng	UAV	Noun	tr	unmanned aerial vehicle	mri	waka matatopa
eng	UAV	Noun	tr	unmanned aerial vehicle	tur	insansız hava aracı
