	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	UEFA	Proper noun	tr	Union of European Football Associations	deu	UEFA
eng	UEFA	Proper noun	tr	Union of European Football Associations	fra	UEFA
eng	UEFA	Proper noun	tr	Union of European Football Associations	hye	ՈՒԵՖԱ
eng	UEFA	Proper noun	tr	Union of European Football Associations	ita	UEFA
eng	UEFA	Proper noun	tr	Union of European Football Associations	mkd	УЕФА	f
eng	UEFA	Proper noun	tr	Union of European Football Associations	pol	UEFA
eng	UEFA	Proper noun	tr	Union of European Football Associations	por	UEFA	f
eng	UEFA	Proper noun	tr	Union of European Football Associations	rus	УЕФА
eng	UEFA	Proper noun	tr	Union of European Football Associations	spa	UEFA
eng	Uelen	Proper noun	tr	a settlment in Russia	ckt	Увэлен
eng	Uelen	Proper noun	tr	a settlment in Russia	ess	Олыӄ
eng	Uelen	Proper noun	tr	a settlment in Russia	ess	Улыӄ
eng	Uelen	Proper noun	tr	a settlment in Russia	rus	Уэле́н	m
