	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	up above	Noun	tr		fra	dans l'au-delà
eng	up above	Noun	tr		zdj	akhira
eng	up	Adjective	tr	available	fin	saatavilla
eng	up	Adjective	tr	available	nld	beschikbaar
eng	up	Adjective	tr	available	nor	oppe
eng	up	Adjective	tr	available	swa	patikana
eng	up	Adjective	tr	available	swe	uppe
eng	up	Adjective	tr	awake	ces	vzhůru
eng	up	Adjective	tr	awake	dan	oppe
eng	up	Adjective	tr	awake	deu	auf
eng	up	Adjective	tr	awake	deu	munter
eng	up	Adjective	tr	awake	fin	hereillä
eng	up	Adjective	tr	awake	fin	valveilla
eng	up	Adjective	tr	awake	fra	debout
eng	up	Adjective	tr	awake	fra	levé
eng	up	Adjective	tr	awake	heb	ער	m	tr='er
eng	up	Adjective	tr	awake	heb	ערה	f	tr='erá
eng	up	Adjective	tr	awake	hun	fent
eng	up	Adjective	tr	awake	jpn	起きる	tr=okite iru	alt=起きている
eng	up	Adjective	tr	awake	lav	augšā
eng	up	Adjective	tr	awake	mkd	разбуден
eng	up	Adjective	tr	awake	mkd	расонет
eng	up	Adjective	tr	awake	nld	op
eng	up	Adjective	tr	awake	nor	oppe
eng	up	Adjective	tr	awake	por	acordado
eng	up	Adjective	tr	awake	swa	amka
eng	up	Adjective	tr	awake	swe	uppe
eng	up	Adjective	tr	erect	fra	au garde-à-vous	m	f
eng	up	Adjective	tr	erect	nld	stijf
eng	up	Adjective	tr	facing upwards	dan	med forsiden opad
eng	up	Adjective	tr	facing upwards	deu	hoch
eng	up	Adjective	tr	facing upwards	fin	ylöspäin
eng	up	Adjective	tr	facing upwards	jpn	上を向けて	tr=ue wo mukete
eng	up	Adjective	tr	facing upwards	nld	met
eng	up	Adjective	tr	facing upwards	nld	omhoog
eng	up	Adjective	tr	facing upwards	nor	med
eng	up	Adjective	tr	facing upwards	nor	opp
eng	up	Adjective	tr	facing upwards	por	virado para cima
eng	up	Adjective	tr	facing upwards	spa	hacia arriba
eng	up	Adjective	tr	facing upwards	swa	juu
eng	up	Adjective	tr	facing upwards	swe	med
eng	up	Adjective	tr	facing upwards	swe	uppåt
eng	up	Adjective	tr	finished	deu	alle
eng	up	Adjective	tr	finished	deu	aus
eng	up	Adjective	tr	finished	deu	beendet
eng	up	Adjective	tr	finished	deu	um
eng	up	Adjective	tr	finished	deu	zu Ende
eng	up	Adjective	tr	finished	fin	loppu
eng	up	Adjective	tr	finished	jpn	終わり	tr=owari
eng	up	Adjective	tr	finished	mkd	истечен
eng	up	Adjective	tr	finished	msa	habis
eng	up	Adjective	tr	finished	msa	tamat
eng	up	Adjective	tr	finished	nld	op
eng	up	Adjective	tr	finished	nor	ute
eng	up	Adjective	tr	finished	por	acabado
eng	up	Adjective	tr	finished	spa	acabado
eng	up	Adjective	tr	finished	spa	terminado
eng	up	Adjective	tr	finished	swa	maliza
eng	up	Adjective	tr	functional	dan	oppe
eng	up	Adjective	tr	functional	deu	an
eng	up	Adjective	tr	functional	deu	in Betrieb
eng	up	Adjective	tr	functional	fin	toiminnassa
eng	up	Adjective	tr	functional	fin	ylhäällä
eng	up	Adjective	tr	functional	fra	en marche	m	f
eng	up	Adjective	tr	functional	nld	functioneel
eng	up	Adjective	tr	functional	nld	in orde
eng	up	Adjective	tr	functional	nor	oppe
eng	up	Adjective	tr	functional	spa	en marcha
eng	up	Adjective	tr	functional	swa	juu
eng	up	Adjective	tr	in a good mood	ces	nahoře
eng	up	Adjective	tr	in a good mood	fin	iloinen
eng	up	Adjective	tr	in a good mood	jpn	良い	tr=yoi
eng	up	Adjective	tr	in a good mood	msa	riang
eng	up	Adjective	tr	in a good mood	nld	opgewekt
eng	up	Adjective	tr	in a good mood	nor	oppesen
eng	up	Adjective	tr	in a good mood	por	bem
eng	up	Adjective	tr	in a good mood	swa	tabamu
eng	up	Adjective	tr	informed about	dan	med
eng	up	Adjective	tr	informed about	fin	ajan tasalla
eng	up	Adjective	tr	informed about	jpn	上がっている	tr=agatte iru
eng	up	Adjective	tr	informed about	nld	mee
eng	up	Adjective	tr	informed about	nor	med
eng	up	Adjective	tr	informed about	nor	oppdatert
eng	up	Adjective	tr	informed about	por	a par
eng	up	Adjective	tr	informed about	por	por dentro
eng	up	Adjective	tr	informed about	swa	juu
eng	up	Adjective	tr	informed about	swe	med
eng	up	Adjective	tr	informed about	swe	uppdaterad
eng	up	Adjective	tr	next	deu	dran
eng	up	Adjective	tr	next	fin	seuraavana
eng	up	Adjective	tr	next	jpn	控えている	tr=hikaete iru
eng	up	Adjective	tr	next	nld	aan
eng	up	Adjective	tr	next	nld	aan de beurt
eng	up	Adjective	tr	next	nor	i tur
eng	up	Adjective	tr	next	spa	próximo
eng	up	Adjective	tr	next	swa	ingine
eng	up	Adjective	tr	on a higher level	deu	oben
eng	up	Adjective	tr	on a higher level	fin	korkeampana
eng	up	Adjective	tr	on a higher level	fin	ylempänä
eng	up	Adjective	tr	on a higher level	nor	oppe
eng	up	Adjective	tr	on a higher level	swa	juu
eng	up	Adjective	tr	rail transport: traveling towards a major terminus	jpn	上り方向に	tr=nobori-hōkō ni
eng	up	Adjective	tr	rail transport: traveling towards a major terminus	nor	utgående
eng	up	Adjective	tr	rail transport: traveling towards a major terminus	swa	juu
eng	up	Adjective	tr	ready, willing	deu	bereit
eng	up	Adjective	tr	ready, willing	fra	partant	m
eng	up	Adjective	tr	ready, willing	jpn	気が向いている	tr=kiga-muite iru
eng	up	Adjective	tr	ready, willing	nld	bereid
eng	up	Adjective	tr	ready, willing	nld	klaar
eng	up	Adjective	tr	ready, willing	nor	klar
eng	up	Adjective	tr	ready, willing	por	pronto
eng	up	Adjective	tr	ready, willing	spa	listo
eng	up	Adjective	tr	ready, willing	swa	kubali
