	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Udine	Proper noun	tr	capital	ara	أوديني
eng	Udine	Proper noun	tr	capital	bel	Удзінэ
eng	Udine	Proper noun	tr	capital	bul	Удине
eng	Udine	Proper noun	tr	capital	cat	Udine
eng	Udine	Proper noun	tr	capital	chv	Удине
eng	Udine	Proper noun	tr	capital	cmn	烏迪內
eng	Udine	Proper noun	tr	capital	ell	Ούντινε
eng	Udine	Proper noun	tr	capital	fas	اودینه
eng	Udine	Proper noun	tr	capital	fra	Udine
eng	Udine	Proper noun	tr	capital	fur	Udin
eng	Udine	Proper noun	tr	capital	heb	אודינה
eng	Udine	Proper noun	tr	capital	hye	Ուդինե
eng	Udine	Proper noun	tr	capital	ita	Udine	f
eng	Udine	Proper noun	tr	capital	jpn	ウーディネ
eng	Udine	Proper noun	tr	capital	kat	უდინე
eng	Udine	Proper noun	tr	capital	kaz	Удине
eng	Udine	Proper noun	tr	capital	kor	우디네
eng	Udine	Proper noun	tr	capital	lat	Utinum
eng	Udine	Proper noun	tr	capital	lav	Udīne
eng	Udine	Proper noun	tr	capital	lit	Udinė
eng	Udine	Proper noun	tr	capital	mar	उदिने
eng	Udine	Proper noun	tr	capital	mkd	Удине
eng	Udine	Proper noun	tr	capital	pms	Ùdin
eng	Udine	Proper noun	tr	capital	pnb	یوڈائن
eng	Udine	Proper noun	tr	capital	pol	Udine	n
eng	Udine	Proper noun	tr	capital	por	Udine
eng	Udine	Proper noun	tr	capital	ron	Udine
eng	Udine	Proper noun	tr	capital	rus	Удине
eng	Udine	Proper noun	tr	capital	san	ऊदीने
eng	Udine	Proper noun	tr	capital	scn	Udini
eng	Udine	Proper noun	tr	capital	slv	Videm
eng	Udine	Proper noun	tr	capital	spa	Udine
eng	Udine	Proper noun	tr	capital	tat	Удине
eng	Udine	Proper noun	tr	capital	ukr	Удіне
eng	Udine	Proper noun	tr	capital	vec	Ùdine
eng	Udine	Proper noun	tr	capital	yue	烏甸尼
eng	Udine	Proper noun	tr	province	fra	Udine
eng	Udine	Proper noun	tr	province	ita	Udine	f
eng	Udine	Proper noun	tr	province	pol	Udine	n
eng	Udi	Noun	tr	person	fin	udi
eng	Udi	Noun	tr	person	hye	ուտի
eng	Udi	Noun	tr	person	kat	უდი
eng	Udi	Noun	tr	person	rus	удин	alt=уди́н
eng	Udi	Proper noun	tr	language	bre	oudieg
eng	Udi	Proper noun	tr	language	cat	udin
eng	Udi	Proper noun	tr	language	deu	udische Sprache
eng	Udi	Proper noun	tr	language	fas	زبان اودی	tr=zabân-e udi
eng	Udi	Proper noun	tr	language	fin	udi
eng	Udi	Proper noun	tr	language	fin	udin kieli
eng	Udi	Proper noun	tr	language	fra	oudi
eng	Udi	Proper noun	tr	language	hye	ուտիերեն
eng	Udi	Proper noun	tr	language	kat	უდების ენა
eng	Udi	Proper noun	tr	language	kat	უდიური
eng	Udi	Proper noun	tr	language	kat	უდიური ენა
eng	Udi	Proper noun	tr	language	kat	უდური
eng	Udi	Proper noun	tr	language	kat	უდური ენა
eng	Udi	Proper noun	tr	language	mkd	удиски
eng	Udi	Proper noun	tr	language	nor	udinsk
eng	Udi	Proper noun	tr	language	pol	udyjski
eng	Udi	Proper noun	tr	language	por	udi
eng	Udi	Proper noun	tr	language	rus	удинский
eng	Udi	Proper noun	tr	language	spa	udí	m
eng	Udi	Proper noun	tr	language	tha	ภาษาอูดี	tr=paasăa oodee
eng	Udi	Proper noun	tr	language	udi	удин муз
eng	Udi	Proper noun	tr	language	ukr	удінська мова
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	cat	udmurt
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	ces	udmurtský	m
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	deu	udmurtisch
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	eus	udmurtera
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	fin	udmurttilainen
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	fra	oudmourte
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	hun	udmurt
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	hun	votják
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	jpn	ウドムルト語	sc=Jpan
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	kat	უდმურტული	sc=Geor
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	nep	उड्मुर्ट​	sc=Deva
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	pol	udmurcki	m
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	por	udmurt
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	ron	udmurt
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	rus	удму́ртский
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	spa	udmurto
eng	Udmurt	Adjective	tr	pertaining to Udmurts, Udmurtia, or the Udmurt language	udm	удмурт кыл
eng	Udmurtia	Proper noun	tr	a republic of Russia	cat	Udmúrtia	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	dan	Udmurtien
eng	Udmurtia	Proper noun	tr	a republic of Russia	fra	Oudmourtie	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	gle	an Udmairt	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	ita	Udmurtia	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	lav	Udmurtija	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	pol	Udmurcja	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	por	Udmúrtia	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	rus	Удму́ртия	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	sco	Udmurtie
eng	Udmurtia	Proper noun	tr	a republic of Russia	spa	Udmurtia	f
eng	Udmurtia	Proper noun	tr	a republic of Russia	udm	Удмуртия
eng	Udmurt	Noun	tr	person	deu	Udmurte	m
eng	Udmurt	Noun	tr	person	deu	Udmurtin	f
eng	Udmurt	Noun	tr	person	est	udmurt
eng	Udmurt	Noun	tr	person	est	votjak
eng	Udmurt	Noun	tr	person	fin	udmurtti
eng	Udmurt	Noun	tr	person	hun	udmurt
eng	Udmurt	Noun	tr	person	hun	votják
eng	Udmurt	Noun	tr	person	hye	ուդմուրտ	sc=Armn
eng	Udmurt	Noun	tr	person	pol	Udmurta	m
eng	Udmurt	Noun	tr	person	pol	Udmurtka	f
eng	Udmurt	Noun	tr	person	pol	Udmurtyjka	f
eng	Udmurt	Noun	tr	person	por	udmurt	m	f
eng	Udmurt	Noun	tr	person	ron	udmurtă	f
eng	Udmurt	Noun	tr	person	ron	udmurt	m
eng	Udmurt	Noun	tr	person	rus	удму́рт	m
eng	Udmurt	Noun	tr	person	rus	удму́ртка	f
eng	Udmurt	Noun	tr	person	swe	udmurt	c
eng	Udmurt	Noun	tr	person	udm	удмурт
eng	Udmurt	Proper noun	tr	language	afr	oedmoerts
eng	Udmurt	Proper noun	tr	language	amh	ኡድሙርትኛ
eng	Udmurt	Proper noun	tr	language	bre	oudmourteg
eng	Udmurt	Proper noun	tr	language	ces	udmurtština	f
eng	Udmurt	Proper noun	tr	language	cmn	乌德穆尔特语
eng	Udmurt	Proper noun	tr	language	dan	udmurt
eng	Udmurt	Proper noun	tr	language	dan	udmurtisk
eng	Udmurt	Proper noun	tr	language	dan	votjakisk
eng	Udmurt	Proper noun	tr	language	deu	Udmurtisch	n
eng	Udmurt	Proper noun	tr	language	epo	udmurta
eng	Udmurt	Proper noun	tr	language	eus	udmurtera
eng	Udmurt	Proper noun	tr	language	fin	udmurtti
eng	Udmurt	Proper noun	tr	language	fra	oudmourte	m
eng	Udmurt	Proper noun	tr	language	gsw	Udmurtisch
