	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	ces	ugandský
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	deu	ugandisch
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	fra	ougandais
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	fra	ougandien	m
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	gle	Ugandach
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	glg	ugandés
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	ita	ugandese
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	nld	Oegandees
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	nld	Ugandees
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	nno	ugandisk
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	nob	ugandisk
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	pol	ugandyjski
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	por	ugandense
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	rus	уганди́йский
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	spa	ugandés
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	swa	Kiganda
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	swe	ugandisk
eng	Ugandan	Adjective	tr	Of, from, or pertaining to Uganda, the Ugandan people or the Ugandan language	tur	Uganda
eng	Ugandan	Noun	tr	A person from Uganda or of Ugandan descent	ast	ugandesa	f
eng	Ugandan	Noun	tr	A person from Uganda or of Ugandan descent	ast	ugandés	m
eng	Ugandan	Noun	tr	A person from Uganda or of Ugandan descent	cat	ugandesa	f
eng	Ugandan	Noun	tr	A person from Uganda or of Ugandan descent	cat	ugandès	m
eng	Ugandan	Noun	tr	A person from Uganda or of Ugandan descent	ces	Uganďan	m
