	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	v-chip	Noun	tr	censorship device	fra	contrôle parental	m
eng	v-chip	Noun	tr	censorship device	jpn	Vチップ	tr=bui-chippu
eng	v-chip	Noun	tr	censorship device	spa	V-viruta
eng	V-form	Noun	tr	formal second-person pronoun	fin	teitittelymuoto
eng	V-neck	Noun	tr	V-shaped neckline	cmn	V領
eng	V-neck	Noun	tr	V-shaped neckline	cmn	V领	tr=V-lǐng
eng	V-neck	Noun	tr	V-shaped neckline	deu	V-Ausschnitt	m
eng	V-neck	Noun	tr	V-shaped neckline	fra	col en V	m
eng	V-neck	Noun	tr	V-shaped neckline	gle	V-mhuineál	m
eng	V-neck	Noun	tr	V-shaped neckline	nld	V-hals	m
eng	V-neck	Noun	tr	V-shaped neckline	pol	serek	m
eng	V-neck	Noun	tr	V-shaped neckline	swe	V-ringning	c
eng	V-neck	Noun	tr	V-shaped neckline	yue	V領
eng	V-neck	Noun	tr	V-shaped neckline	yue	V领	tr=wi1 leng5
eng	V-shaped	Adjective	tr	shaped like the letter V	deu	V-förmig
eng	V-shaped	Adjective	tr	shaped like the letter V	fin	V:n muotoinen
