	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Vaasa	Proper noun	tr	a city in Finland	dan	Vaasa
eng	Vaasa	Proper noun	tr	a city in Finland	deu	Vaasa
eng	Vaasa	Proper noun	tr	a city in Finland	ell	Βάασα
eng	Vaasa	Proper noun	tr	a city in Finland	fin	Vaasa
eng	Vaasa	Proper noun	tr	a city in Finland	rus	Ва́аса	f
eng	Vaasa	Proper noun	tr	a city in Finland	rus	Ва́са	f
eng	Vaasa	Proper noun	tr	a city in Finland	swe	Vasa
eng	vacancy	Noun	tr	available room	ara	غُرْفَة شَاغِرَة	m
eng	vacancy	Noun	tr	available room	cmn	空位	tr=kòngwèi, kōngwèi	sc=Hani
eng	vacancy	Noun	tr	available room	deu	freies Zimmer	n
eng	vacancy	Noun	tr	available room	fin	vapaa huone
eng	vacancy	Noun	tr	available room	fra	chambre libre	f
eng	vacancy	Noun	tr	available room	kat	თავისუფალი ნომერი
eng	vacancy	Noun	tr	available room	nob	ledig rom	n
eng	vacancy	Noun	tr	available room	por	vaga	f
eng	vacancy	Noun	tr	available room	rus	свобо́дный но́мер	m
eng	vacancy	Noun	tr	available room	swe	ledig plats	c
eng	vacancy	Noun	tr	empty space	ara	حَيِّز	m
eng	vacancy	Noun	tr	empty space	deu	freier Platz	m
eng	vacancy	Noun	tr	empty space	fin	vapaa paikka
eng	vacancy	Noun	tr	empty space	kat	სიცარიელე
eng	vacancy	Noun	tr	empty space	kat	ცარიელი სივრცე
eng	vacancy	Noun	tr	empty space	rus	свобо́дное ме́сто	n
eng	vacancy	Noun	tr	unoccupied position	ara	شَاغِر
eng	vacancy	Noun	tr	unoccupied position	ara	شَاغِر وَظِيْفِيّ	m
eng	vacancy	Noun	tr	unoccupied position	ara	وَظِيْفَة شَاغِرَة	f
eng	vacancy	Noun	tr	unoccupied position	ces	volné místo	n
eng	vacancy	Noun	tr	unoccupied position	cmn	空缺	tr=kōngquē	sc=Hani
eng	vacancy	Noun	tr	unoccupied position	cmn	空职	tr=kōngzhí	sc=Hani
eng	vacancy	Noun	tr	unoccupied position	cmn	空職	sc=Hani
eng	vacancy	Noun	tr	unoccupied position	cmn	空額	sc=Hani
eng	vacancy	Noun	tr	unoccupied position	cmn	空额	tr=kòng'é	sc=Hani
eng	vacancy	Noun	tr	unoccupied position	deu	freie Stelle	f
eng	vacancy	Noun	tr	unoccupied position	deu	Vakanz	f
eng	vacancy	Noun	tr	unoccupied position	fin	avoin virka
eng	vacancy	Noun	tr	unoccupied position	fin	vakanssi
eng	vacancy	Noun	tr	unoccupied position	ita	posizione vacante
eng	vacancy	Noun	tr	unoccupied position	ita	posto vacante
eng	vacancy	Noun	tr	unoccupied position	jpn	欠員	tr=けついん, ketsuin	sc=Jpan
eng	vacancy	Noun	tr	unoccupied position	kat	ვაკანსია
eng	vacancy	Noun	tr	unoccupied position	nld	vacature	f
eng	vacancy	Noun	tr	unoccupied position	nob	ledig stilling	m
eng	vacancy	Noun	tr	unoccupied position	nrf	vacanche	f
eng	vacancy	Noun	tr	unoccupied position	pol	wakat	m
eng	vacancy	Noun	tr	unoccupied position	por	vaga	f
eng	vacancy	Noun	tr	unoccupied position	rus	вака́нсия	f
eng	vacancy	Noun	tr	unoccupied position	ukr	вака́нсія	f
eng	vacancy	Noun	tr	unoccupied position	zul	isikhala	c7	c8
eng	vacant	Adjective	tr	not occupied	ara	خَالِيّ
eng	vacant	Adjective	tr	not occupied	bak	буш	sc=Cyrl
eng	vacant	Adjective	tr	not occupied	bel	вака́нтны
eng	vacant	Adjective	tr	not occupied	bel	во́льны
eng	vacant	Adjective	tr	not occupied	cat	vacant
eng	vacant	Adjective	tr	not occupied	ces	volný
eng	vacant	Adjective	tr	not occupied	ckb	چۆڵ
eng	vacant	Adjective	tr	not occupied	cmn	空	tr=kòng de	alt=空的	sc=Hani
eng	vacant	Adjective	tr	not occupied	dan	ledig
eng	vacant	Adjective	tr	not occupied	deu	frei
eng	vacant	Adjective	tr	not occupied	deu	vakant
eng	vacant	Adjective	tr	not occupied	enm	ydel
eng	vacant	Adjective	tr	not occupied	fin	vapaa
eng	vacant	Adjective	tr	not occupied	fra	vide
eng	vacant	Adjective	tr	not occupied	hun	üres
eng	vacant	Adjective	tr	not occupied	hye	թափուր	sc=Armn
eng	vacant	Adjective	tr	not occupied	ind	lowong
eng	vacant	Adjective	tr	not occupied	isl	laus
eng	vacant	Adjective	tr	not occupied	ita	vacante
eng	vacant	Adjective	tr	not occupied	jpn	空	tr=からの, kara no	alt=空の	sc=Jpan
eng	vacant	Adjective	tr	not occupied	kat	დაუკავებელი
eng	vacant	Adjective	tr	not occupied	kat	თავისუფალი	sc=Geor
eng	vacant	Adjective	tr	not occupied	kea	inban
eng	vacant	Adjective	tr	not occupied	kor	비다
eng	vacant	Adjective	tr	not occupied	lat	vacivus
eng	vacant	Adjective	tr	not occupied	mri	āputa
eng	vacant	Adjective	tr	not occupied	mri	hāmama
eng	vacant	Adjective	tr	not occupied	mri	wātea
eng	vacant	Adjective	tr	not occupied	nld	leeg
eng	vacant	Adjective	tr	not occupied	nob	ubesatt
eng	vacant	Adjective	tr	not occupied	pol	wolny
eng	vacant	Adjective	tr	not occupied	por	vago
eng	vacant	Adjective	tr	not occupied	ron	gol
eng	vacant	Adjective	tr	not occupied	rus	вака́нтный
eng	vacant	Adjective	tr	not occupied	rus	неза́нятый
eng	vacant	Adjective	tr	not occupied	rus	свобо́дный
eng	vacant	Adjective	tr	not occupied	spa	vacante
eng	vacant	Adjective	tr	not occupied	swe	ledig
eng	vacant	Adjective	tr	not occupied	ukr	вака́нтний
eng	vacant	Adjective	tr	not occupied	ukr	ві́льний
eng	vacant	Adjective	tr	showing no intelligence or interest	ara	خَاوِي
eng	vacant	Adjective	tr	showing no intelligence or interest	ara	فَارِغ
eng	vacant	Adjective	tr	showing no intelligence or interest	bak	буш	sc=Cyrl
eng	vacant	Adjective	tr	showing no intelligence or interest	bak	мәғәнәһеҙ	sc=Cyrl
eng	vacant	Adjective	tr	showing no intelligence or interest	cat	vacu
eng	vacant	Adjective	tr	showing no intelligence or interest	deu	ausdruckslos
eng	vacant	Adjective	tr	showing no intelligence or interest	deu	leer
eng	vacant	Adjective	tr	showing no intelligence or interest	deu	nichtssagend
eng	vacant	Adjective	tr	showing no intelligence or interest	fra	niais	m
eng	vacant	Adjective	tr	showing no intelligence or interest	kat	არარსებული
eng	vacant	Adjective	tr	showing no intelligence or interest	kat	თავცარიელი
eng	vacant	Adjective	tr	showing no intelligence or interest	kat	უქმი
eng	vacant	Adjective	tr	showing no intelligence or interest	kat	ცარიელი
eng	vacant	Adjective	tr	showing no intelligence or interest	mri	pao
eng	vacant	Adjective	tr	showing no intelligence or interest	rus	бессмы́сленный
eng	vacant	Adjective	tr	showing no intelligence or interest	rus	досу́жий
eng	vacant	Adjective	tr	showing no intelligence or interest	rus	отсу́тствующий
eng	vacant	Adjective	tr	showing no intelligence or interest	rus	пра́здный
eng	vacant	Adjective	tr	showing no intelligence or interest	rus	пусто́й
eng	vacant	Adjective	tr	showing no intelligence or interest	swe	frånvarande
eng	vacant	Adjective	tr	showing no intelligence or interest	swe	innehållslös
eng	vacant	Adjective	tr	showing no intelligence or interest	swe	tom
eng	vacant	Adjective	tr	showing no intelligence or interest	swe	uttryckslös
eng	vacant lot	Noun	tr	unused land	cat	descampat	m
eng	vacant lot	Noun	tr	unused land	deu	unbebautes Grundstück	n
eng	vacant lot	Noun	tr	unused land	fin	tyhjä tontti
eng	vacant lot	Noun	tr	unused land	fra	terrain vague
eng	vacant lot	Noun	tr	unused land	hun	grund
eng	vacant lot	Noun	tr	unused land	spa	descampado	m
eng	vacate	Verb	tr	to have court judgement set aside	ara	أبْطَلَ
eng	vacate	Verb	tr	to have court judgement set aside	ara	نَحّى
eng	vacate	Verb	tr	to have court judgement set aside	fin	mitätöidä
eng	vacate	Verb	tr	to leave an area	ara	أخْلَا
eng	vacate	Verb	tr	to leave an area	fin	lähteä evakkoon
eng	vacate	Verb	tr	to leave an area	kor	비우다
eng	vacate	Verb	tr	to leave an area	mri	whakatahi
eng	vacate	Verb	tr	to leave an area	spa	dejar vacante
eng	vacate	Verb	tr	to leave an area	spa	evacuar
eng	vacate	Verb	tr	to leave an office	ara	تَرَكَ
eng	vacate	Verb	tr	to leave an office	fin	erota
eng	vacate	Verb	tr	to leave an office	fin	jättää virka
eng	vacate	Verb	tr	to move out	ara	أخْلَا
eng	vacate	Verb	tr	to move out	fin	muuttaa pois
eng	vacate	Verb	tr	to move out	hin	ख़ाली करना
eng	vacate	Verb	tr	to move out	ido	vakuigar
eng	vacate	Verb	tr	to move out	mri	whakatahi
eng	vacate	Verb	tr	to move out	por	vacar
eng	vacate	Verb	tr	to move out	por	vagar
eng	vacate	Verb	tr	to move out	rus	освободи́ть	pf
eng	vacate	Verb	tr	to move out	rus	освобожда́ть	impf
eng	vacate	Verb	tr	to move out	spa	desalojar
eng	vacation day	Noun	tr	day off due to vacation	fin	lomapäivä
eng	vacation	Noun	tr	freedom from some business or activity	ces	prázdniny	f-p
eng	vacation	Noun	tr	freedom from some business or activity	fra	vacances	f	p
