	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Vrachasi	Proper noun	tr	village in Crete	ell	Βραχάσι
eng	Vrachasi	Proper noun	tr	village in Crete	fra	Vrachasi
eng	vraic	Noun	tr	seaweed gathered for use as a fertilizer or fuel	nrf	vraic	m
eng	vraic	Noun	tr	seaweed gathered for use as a fertilizer or fuel	nrf	vrai	m
eng	vraicqueur	Noun	tr	vraic-harvester	nrf	vraitcheux	m
eng	Vratsa	Proper noun	tr	town	bul	Враца
eng	vroom	Interjection	tr	the sound of a sports car’s engine	deu	wrumm
eng	vroom	Interjection	tr	the sound of a sports car’s engine	fra	vroum
eng	vroom	Interjection	tr	the sound of a sports car’s engine	hye	ղմ-ղմ
eng	vroom	Interjection	tr	the sound of a sports car’s engine	nld	vroem
eng	vroom	Interjection	tr	the sound of a sports car’s engine	swe	brum
eng	vroom	Interjection	tr	the sound of a sports car’s engine	tha	บรื้น
eng	Vrutok	Proper noun	tr	a village in North Macedonia	mkd	Вруток	m
eng	Vrutok	Proper noun	tr	a village in North Macedonia	sqi	Vërtok	m
eng	Vrutok	Proper noun	tr	a village in North Macedonia	sqi	Vërtoku	m
eng	vrykolakas	Noun	tr	undead creature	bul	Върколак	sc=Cyrl
eng	vrykolakas	Noun	tr	undead creature	deu	Wrukolakas
eng	vrykolakas	Noun	tr	undead creature	fra	vrykolakas
eng	vrykolakas	Noun	tr	undead creature	ind	brycolax
eng	vrykolakas	Noun	tr	undead creature	lat	Brycolax
eng	vrykolakas	Noun	tr	undead creature	rus	Врыколак
