	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Vaasa	Proper noun	tr	a city in Finland	dan	Vaasa
eng	Vaasa	Proper noun	tr	a city in Finland	deu	Vaasa
eng	Vaasa	Proper noun	tr	a city in Finland	ell	Βάασα
eng	Vaasa	Proper noun	tr	a city in Finland	fin	Vaasa
eng	Vaasa	Proper noun	tr	a city in Finland	rus	Ва́аса	f
eng	Vaasa	Proper noun	tr	a city in Finland	rus	Ва́са	f
eng	Vaasa	Proper noun	tr	a city in Finland	swe	Vasa
eng	Vaccine Revolt	Proper noun	tr	period of civil disorder	cmn	疫苗革命	tr=yìmiáo gémìng
eng	Vaccine Revolt	Proper noun	tr	period of civil disorder	fin	rokotekapina
eng	Vaccine Revolt	Proper noun	tr	period of civil disorder	por	Revolta da Vacina	f
eng	Vachon	Proper noun	tr		fra	Vachon
eng	Vadodara	Proper noun	tr	city in India	acw	برودة
eng	Vadodara	Proper noun	tr	city in India	cmn	巴罗达	tr=Bāluódá	sc=Hani
eng	Vadodara	Proper noun	tr	city in India	cmn	巴羅達	sc=Hani
eng	Vadodara	Proper noun	tr	city in India	deu	Vadodara
eng	Vadodara	Proper noun	tr	city in India	fra	Vadodara
eng	Vadodara	Proper noun	tr	city in India	guj	વડોદરા	sc=Gujr
eng	Vadodara	Proper noun	tr	city in India	hin	बड़ौदाा
eng	Vadodara	Proper noun	tr	city in India	hin	वड़ोदरा
eng	Vadodara	Proper noun	tr	city in India	ita	Vadodara
eng	Vadodara	Proper noun	tr	city in India	jpn	ヴァドーダラー	tr=Vadōdarā
eng	Vadodara	Proper noun	tr	city in India	mar	बडोदे
eng	Vadodara	Proper noun	tr	city in India	rus	Баро́да	f
eng	Vadodara	Proper noun	tr	city in India	rus	Вадо́дара	f
eng	Vadsø	Proper noun	tr	municipality in Norway	dan	Vadsø
eng	Vadsø	Proper noun	tr	municipality in Norway	fin	Vesisaari
eng	Vadsø	Proper noun	tr	municipality in Norway	nno	Vadsø
eng	Vadsø	Proper noun	tr	municipality in Norway	nob	Vadsø
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	ara	فَادُوز	f	tr=fadūz
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	cmn	瓦杜兹	tr=Wǎdùzī
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	cmn	瓦杜茲
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	dan	Vaduz
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	deu	Vaduz	n
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	epo	Vaduzo
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	est	Vaduz
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	fra	Vaduz	f
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	gle	Vadús	m
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	hye	Վադուց
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	jpn	ファドゥーツ	tr=Fadūtsu
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	kor	^파두츠
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	lav	Vaduca	f
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	mkd	Ва́дуц	m
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	nav	Badóts
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	por	Vaduz	f
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	rus	Ваду́ц	m
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	tha	วาดุซ
eng	Vaduz	Proper noun	tr	capital of Liechtenstein	vie	Va-đu-dơ
eng	Vahagn	Proper noun	tr	Ancient Armenian god	cmn	瓦哈格恩	tr=Wǎhāgé'ēn
eng	Vahagn	Proper noun	tr	Ancient Armenian god	fas	واهاگن	tr=vâhâgen
eng	Vahagn	Proper noun	tr	Ancient Armenian god	hye	Վահագն
eng	Vahagn	Proper noun	tr	Ancient Armenian god	jpn	ヴァハグン	tr=Vahagun
eng	Vahagn	Proper noun	tr	Ancient Armenian god	kor	^바하근
eng	Vahagn	Proper noun	tr	Ancient Armenian god	rus	Ваа́гн	m
eng	Vahagn	Proper noun	tr	male given name	cmn	瓦哈格恩	tr=Wǎhāgé'ēn
eng	Vahagn	Proper noun	tr	male given name	fas	واهاگن	tr=vâhâgen
eng	Vahagn	Proper noun	tr	male given name	hye	Վահագն
eng	Vahagn	Proper noun	tr	male given name	jpn	ヴァハグン	tr=Vahagun
eng	Vahagn	Proper noun	tr	male given name	kor	^바하근
eng	Vahagn	Proper noun	tr	male given name	rus	Ваа́гн	m
eng	Vaikuntha	Proper noun	tr		hin	वैकुण्ठ	m
eng	Vaikuntha	Proper noun	tr		kan	ವೈಕುಂಠ
eng	Vaikuntha	Proper noun	tr		mar	वैकुंठ
eng	Vaikuntha	Proper noun	tr		nep	वैकुण्ठ
eng	Vaikuntha	Proper noun	tr		omr	वैकुंठ
eng	Vaikuntha	Proper noun	tr		omr	𑘪𑘺𑘎𑘳𑘽𑘙
eng	Vaikuntha	Proper noun	tr		tam	வைகுண்டம்
eng	Vaikuntha	Proper noun	tr		tel	వైకుంఠము
eng	Vai	Noun	tr	ethnic group	rus	ваи	tr=
eng	Vai	Proper noun	tr	language	rus	ваи	m	tr=
eng	Vairocana	Proper noun	tr		bod	རྣམ་པར་སྣང་མཛད་
eng	Vairocana	Proper noun	tr		cmn	大日如来
eng	Vairocana	Proper noun	tr		cmn	毘盧遮那佛
eng	Vairocana	Proper noun	tr		jpn	大日如来
eng	Vairocana	Proper noun	tr		jpn	毘盧遮那仏
eng	Vairocana	Proper noun	tr		kor	대일여래
eng	Vairocana	Proper noun	tr		kor	비로자나불
eng	Vairocana	Proper noun	tr		san	वैरोचन
eng	Vairocana	Proper noun	tr		vie	Đại Nhật Như Lai
eng	Vairocana	Proper noun	tr		vie	Tỳ Lô Giá Na Phật
eng	Vairocana	Proper noun	tr		vie	Tỳ Lư Xá Na
eng	Vaisakha	Proper noun	tr	a lunar month	asm	বহাগ
eng	Vaisakha	Proper noun	tr	a lunar month	kas	بیساکھ
eng	Vaisakha	Proper noun	tr	a lunar month	kas	وَہؠکھ
eng	Vaisakha	Proper noun	tr	a lunar month	pan	ਵਸਾਖ
eng	Vaisakha	Proper noun	tr	a lunar month	san	वैशाख
eng	Vaisakha	Proper noun	tr	a lunar month	snd	وِهاءُ
eng	Vaisakha	Proper noun	tr	a lunar month	snd	وياھ
eng	Vaisakha	Proper noun	tr	a lunar month	snd	ويساکُ
eng	Vaisakha	Proper noun	tr	a lunar month	snd	ويها
eng	Vaisakha	Proper noun	tr	a lunar month	tel	వైశాఖము
eng	Vaisakha	Proper noun	tr	a lunar month	urd	بیساکھ
eng	Vaisakha	Proper noun	tr	a lunar month	urd	ویساکھ
eng	Vaisakha	Proper noun	tr	a lunar month	urd	ویشاکھ
eng	Vaishnava	Noun	tr	worshipper	spa	vaisnava	m	f
eng	Vaishnavism	Proper noun	tr	a branch of Hinduism focusing on the worship of Vishnu	ita	visnuismo	m
eng	Vaishnavism	Proper noun	tr	a branch of Hinduism focusing on the worship of Vishnu	tel	వైష్ణవము
eng	Vaishya	Noun	tr	caste	mya	ဝေဿ
eng	Vaishya	Noun	tr	caste	san	वैश्य
eng	Vaishya	Noun	tr	caste	tel	వైశ్యుడు
eng	Vajrapāṇi	Proper noun	tr		bod	ཕྱག་ན་རྡོ་རྗེ
eng	Vajrapāṇi	Proper noun	tr		cmn	金剛手
eng	Vajrapāṇi	Proper noun	tr		cmn	金剛手菩薩
eng	Vajrapāṇi	Proper noun	tr		jpn	金剛手
eng	Vajrapāṇi	Proper noun	tr		jpn	金剛手菩薩
eng	Vajrapāṇi	Proper noun	tr		kor	금강수
eng	Vajrapāṇi	Proper noun	tr		kor	금강수보살
eng	Vajrapāṇi	Proper noun	tr		san	वज्रपाणि
eng	Vajrapāṇi	Proper noun	tr		vie	Kim Cương Thủ
eng	Vajrapāṇi	Proper noun	tr		vie	Kim Cương Thủ Bồ Tát
eng	Vajrapāramitā	Proper noun	tr		cmn	剛波羅蜜多
eng	Vajrapāramitā	Proper noun	tr		jpn	剛波羅蜜多
eng	Vajrapāramitā	Proper noun	tr		jpn	金剛波羅蜜菩薩
eng	Vajrapāramitā	Proper noun	tr		san	वज्रपारमिता
eng	Vajraratna	Proper noun	tr		cmn	金剛宝
eng	Vajraratna	Proper noun	tr		jpn	金剛宝
eng	Vajraratna	Proper noun	tr		san	वज्ररत्न
eng	Vajrasattva	Proper noun	tr		bod	རྡོ་རྗེ་སེམས་དཔའ།
eng	Vajrasattva	Proper noun	tr		cmn	金剛薩埵菩薩
eng	Vajrasattva	Proper noun	tr		jpn	金剛薩埵菩薩
eng	Vajrasattva	Proper noun	tr		kor	금강살타보살
eng	Vajrasattva	Proper noun	tr		san	वज्रसत्त्व
eng	Vajrasattva	Proper noun	tr		vie	Kim Cang Tát Đỏa Bồ Tát
eng	Vajratīkṣṇa	Proper noun	tr		cmn	金剛利
eng	Vajratīkṣṇa	Proper noun	tr		jpn	金剛利
eng	Vajratīkṣṇa	Proper noun	tr		san	वज्रतीक्ष्ण
