	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	ara	طَوَاف إِسْبَانِيَا	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	arg	Vuelta a Espanya	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	bul	Обиколка на Испания	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	cat	Volta a Espanya	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	cmn	环西自行车赛	tr=huán-Xī zìxíngchēsài
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	cmn	環西自行車賽
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	ell	Γύρος Ισπανίας	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	ell	Γύρος της Ισπανίας	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	eus	Espainiako Vuelta
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	fas	تور دوچرخه‌سواری ووئلتا اسپانیا	tr=tor do-čarxe-savâri Vueltâ Espâniyâ
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	fas	ووئلتا اسپانیا	tr=Vueltâ Espâniyâ
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	fin	Espanjan ympäriajo
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	fra	Tour d'Espagne	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	heb	וואלטה אספניה	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	heb	טוּר שֶׁל סְפָרַד	m	tr=tur shel S'farád
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	ita	Giro di Spagna	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	ita	Vuelta a España	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	jpn	ブエルタ・ア・エスパーニャ	tr=Bueruta a Esupānya
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	kaz	Испания Вуэльтасы
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	kaz	Испания Ту	alt=Испания Туры
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	kor	부엘타 아 에스파냐
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	lat	Circuitus Hispāniae	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	mkd	Вуелта а Еспања	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	mkd	Трка околу Шпанија	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	nld	Ronde van Spanje	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	nor	Spania rundt	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	pms	Gir dla Spagna	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	por	Volta a Espanha	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	por	Volta à Espanha	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	por	Volta da Espanha	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	ron	Turul Spaniei	n
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	rus	Вуэ́льта Испа́нии	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	rus	Тур Испа́нии	m
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	spa	Vuelta a España	f
eng	Vuelta a España	Proper noun	tr	annual cycling race in Spain	tat	İspaniä Vueltası
