	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Vyborg	Proper noun	tr	city in Russia	dan	Vyborg	c
eng	Vyborg	Proper noun	tr	city in Russia	deu	Wiburg	n
eng	Vyborg	Proper noun	tr	city in Russia	deu	Wyborg	n
eng	Vyborg	Proper noun	tr	city in Russia	ell	Βίμποργκ	n
eng	Vyborg	Proper noun	tr	city in Russia	est	Viiburi
eng	Vyborg	Proper noun	tr	city in Russia	fin	Viipuri
eng	Vyborg	Proper noun	tr	city in Russia	hye	Վիբորգ
eng	Vyborg	Proper noun	tr	city in Russia	por	Viborg	f
eng	Vyborg	Proper noun	tr	city in Russia	por	Vyborg	f
eng	Vyborg	Proper noun	tr	city in Russia	rus	Вы́борг	m
eng	Vyborg	Proper noun	tr	city in Russia	swe	Viborg	c
eng	Vyrnwy	Proper noun	tr	river in Wales and England	cym	Efyrnwy	f
