	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Vé	Proper noun	tr	Norse mythological figure	ang	wēoh
eng	Vé	Proper noun	tr	Norse mythological figure	dan	Ve
eng	Vé	Proper noun	tr	Norse mythological figure	deu	Vé
eng	Vé	Proper noun	tr	Norse mythological figure	ell	Βε
eng	Vé	Proper noun	tr	Norse mythological figure	est	Vé
eng	Vé	Proper noun	tr	Norse mythological figure	fra	Vé
eng	Vé	Proper noun	tr	Norse mythological figure	ita	Vé
eng	Vé	Proper noun	tr	Norse mythological figure	jpn	ヴェー	tr=vē
eng	Vé	Proper noun	tr	Norse mythological figure	lit	Vė
eng	Vé	Proper noun	tr	Norse mythological figure	nld	Vé
eng	Vé	Proper noun	tr	Norse mythological figure	non	Vé
eng	Vé	Proper noun	tr	Norse mythological figure	nor	Ve
eng	Vé	Proper noun	tr	Norse mythological figure	por	Ve
eng	Vé	Proper noun	tr	Norse mythological figure	rus	Ве	m	tr=Vɛ
eng	Vé	Proper noun	tr	Norse mythological figure	spa	Ve
eng	Vé	Proper noun	tr	Norse mythological figure	swe	Ve
