	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	WTF	Phrase	tr	What the fuck	cmn	我操	tr=wǒcāo!	sc=Hani
eng	WTF	Phrase	tr	What the fuck	deu	WZT
eng	WTF	Phrase	tr	What the fuck	hbs	ЊТФ
eng	WTF	Phrase	tr	What the fuck	heb	מה לעזאזל?	sc=Hebr
eng	WTF	Phrase	tr	What the fuck	ind	apa-apaan
eng	WTF	Phrase	tr	What the fuck	ita	che cavolo
eng	WTF	Phrase	tr	What the fuck	ita	che cazzo
eng	WTF	Phrase	tr	What the fuck	nan	三小	sc=Hani
eng	WTF	Phrase	tr	What the fuck	por	PQP
eng	WTF	Phrase	tr	What the fuck	por	Que porra é essa?
eng	WTF	Phrase	tr	What the fuck	ron	CD
eng	WTF	Phrase	tr	What the fuck	ron	ce naiba?
eng	WTF	Phrase	tr	What the fuck	rus	како́го хре́на
eng	WTF	Phrase	tr	What the fuck	rus	что за на́хуй?
eng	WTF	Phrase	tr	What the fuck	rus	что за хрень
eng	WTF	Phrase	tr	What the fuck	rus	что за хуйня́
eng	WTF	Phrase	tr	What the fuck	slk	ČDP
eng	WTF	Phrase	tr	What the fuck	spa	pero qué chingados	alt=¿pero qué chingados?
eng	WTF	Phrase	tr	What the fuck	spa	pero qué cojones	alt=¿pero qué cojones?
eng	WTF	Phrase	tr	What the fuck	spa	pero qué coño	alt=¿pero qué coño?
eng	WTF	Phrase	tr	What the fuck	spa	pero qué demonios	alt=¿pero qué demonios?
eng	WTF	Phrase	tr	What the fuck	spa	qué chucha	alt=¿qué chucha?
eng	WTF	Phrase	tr	What the fuck	spa	qué mierda	alt=¿qué mierda?
eng	WTF	Phrase	tr	What the fuck	swe	vad fan
eng	WTF	Phrase	tr	What the fuck	tgl	puta ano?
eng	WTF	Phrase	tr	What the fuck	tur	N'oluyor lan?
eng	WTF	Phrase	tr	What the fuck	yue	吓？
eng	WTO	Proper noun	tr	World Trade Organization	cmn	WTO
eng	WTO	Proper noun	tr	World Trade Organization	cmn	世貿
eng	WTO	Proper noun	tr	World Trade Organization	cmn	世贸	tr=Shì-Mào
eng	WTO	Proper noun	tr	World Trade Organization	fin	WTO
eng	WTO	Proper noun	tr	World Trade Organization	fra	OMC	f
eng	WTO	Proper noun	tr	World Trade Organization	hye	ԱՀԿ
eng	WTO	Proper noun	tr	World Trade Organization	ita	OMC
eng	WTO	Proper noun	tr	World Trade Organization	rus	ВТО	f
eng	WTO	Proper noun	tr	World Trade Organization	spa	OMC
eng	WTO	Proper noun	tr	World Trade Organization	uig	د س ت
eng	WTO	Proper noun	tr	World Trade Organization	yue	世貿
eng	WTO	Proper noun	tr	World Trade Organization	yue	世贸	tr=sai3 mau6
