	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Woden	Proper noun	tr	the Germanic chief god	deu	Wotan
eng	Woden	Proper noun	tr	the Germanic chief god	fra	Odin
eng	Woden	Proper noun	tr	the Germanic chief god	fra	Wotan
eng	Woden	Proper noun	tr	the Germanic chief god	nld	Odin	m
eng	Woden	Proper noun	tr	the Germanic chief god	nld	Wodan	m
eng	Woden	Proper noun	tr	the Germanic chief god	nld	Woen	m
eng	Woleaian	Proper noun	tr	language	eus	woleaiera
eng	Wolfgang	Proper noun	tr	male given name	amh	ቮልፍጋንግ	sc=Ethi
eng	Wolfgang	Proper noun	tr	male given name	ara	فولفغانغ
eng	Wolfgang	Proper noun	tr	male given name	arg	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	aym	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	aze	Volfqanq
eng	Wolfgang	Proper noun	tr	male given name	bak	Вольфганг
eng	Wolfgang	Proper noun	tr	male given name	bel	Вольфганг
eng	Wolfgang	Proper noun	tr	male given name	ben	ভোল্‌ফগাংক্‌	tr=Bhōl‌phagāṅk‌
eng	Wolfgang	Proper noun	tr	male given name	bpy	ভোল্‌ফগাংক্‌	tr=Bhōl‌phagāṅk‌
eng	Wolfgang	Proper noun	tr	male given name	bul	Волфганг
eng	Wolfgang	Proper noun	tr	male given name	ceb	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	cha	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	chv	Вольфганг
eng	Wolfgang	Proper noun	tr	male given name	chy	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	ckb	فوڵفگانگ
eng	Wolfgang	Proper noun	tr	male given name	cmn	沃夫岡	tr=Wòfugāng	sc=Hani
eng	Wolfgang	Proper noun	tr	male given name	cmn	沃尔夫冈	tr=Wò'ērfugāng	sc=Hani
eng	Wolfgang	Proper noun	tr	male given name	cmn	沃爾夫岡	sc=Hani
eng	Wolfgang	Proper noun	tr	male given name	cos	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	dan	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	deu	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	dsb	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	ell	Βόλφγκανγκ
eng	Wolfgang	Proper noun	tr	male given name	epo	Volfgango
eng	Wolfgang	Proper noun	tr	male given name	est	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	eus	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	ext	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	fas	ولفگانگ	sc=fa-Arab
eng	Wolfgang	Proper noun	tr	male given name	fin	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	fra	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	frr	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	fry	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	fur	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	gag	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	gla	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	gle	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	glg	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	glv	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	gmw-cfr	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	hat	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	haw	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	hbs	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	heb	וולפגנג	sc=Hebr
eng	Wolfgang	Proper noun	tr	male given name	hif	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	hin	वुल्फ़्गैंग
eng	Wolfgang	Proper noun	tr	male given name	hsb	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	hun	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	hye	Վոլֆգանգ
eng	Wolfgang	Proper noun	tr	male given name	ido	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	ilo	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	ina	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	ind	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	ita	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	jav	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	jpn	ヴォルフガング	tr=Vorufugangu	sc=Jpan
eng	Wolfgang	Proper noun	tr	male given name	kaa	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	kab	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	kal	Wolfgang
eng	Wolfgang	Proper noun	tr	male given name	kat	ვოლფგანგ
eng	Wolfgang	Proper noun	tr	male given name	kmr	Wolfgang
