	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	ang	Irminsul
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	aze	İqqdrasil
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	bul	Игдрасил
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	ell	Ύγκντρασιλ	n	sc=Grek
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	hye	Իգգդրասիլ
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	isl	Yggdrasils
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	jpn	ユグドラシル	tr=Yugudorashiru	sc=Jpan
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	kat	იგდრასილი
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	lav	Igdrasils
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	lit	Igdrasilas
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	nds-nl	Jegdrasiel
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	non	Yggdrasill
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	rus	Иггдрасиль	n
eng	Yggdrasil	Proper noun	tr	the world tree in Norse mythology	ukr	Іґґдрасілль
