	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	chr	ᏱᎰᏩ	sc=Cher
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	cmn	耶和華	tr=yé-hé-huá
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	cmn	雅威	tr=yǎ-wēi
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	deu	Jahveh	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	deu	Jahve	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	deu	Jahweh	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	deu	Jahwe	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	deu	Jewohah	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	deu	Jewoha	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	deu	JHVH	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	deu	JHWH	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	ell	Γιαχβέ	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	ell	Ιεοβά	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	ell	Ιεχωβά	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	hbs	Jahve	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	hbs	Jehova	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	heb	יהוה	m	sc=Hebr
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	ina	Jehovah
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	lat	Dominus
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	lat	Iehova
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	por	Javé	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	por	Jehová	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	por	Jeová	m
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	rus	Иего́ва
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	rus	Я́гве
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	rus	Я́хве
eng	YHWH	Proper noun	tr	יהוה (tetragrammaton)	spa	Jehová	m
