	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ylang ylang	Noun	tr	flower	haw	lanalana
eng	ylang ylang	Noun	tr	flower	ind	kenanga
eng	ylang ylang	Noun	tr	flower	rus	ила́нг-ила́нг	m
eng	ylang ylang	Noun	tr	flower	smo	moso'oi
eng	ylang ylang	Noun	tr	flower	spa	flor de cananga	f
eng	ylang ylang	Noun	tr	flower	tgl	alangilan
eng	ylang ylang	Noun	tr	flower	tgl	ilang-ilang
eng	ylang ylang	Noun	tr	flower	tha	กระดังงา
eng	ylang ylang	Noun	tr	flower	ton	mohokoi
eng	ylang ylang	Noun	tr	oil	ind	minyak kenanga
eng	ylang ylang	Noun	tr	oil	spa	aceite de flor de cananga	m
eng	ylang ylang	Noun	tr	tree	ind	kenanga
eng	ylang ylang	Noun	tr	tree	rus	ила́нг-ила́нг	m
eng	ylang ylang	Noun	tr	tree	spa	cananga odorata	f
eng	ylide	Noun	tr	type of organic compound	fin	ylidi
eng	ylide	Noun	tr	type of organic compound	fra	ylure	m
eng	ylide	Noun	tr	type of organic compound	pol	ylid	m
eng	ylide	Noun	tr	type of organic compound	spa	iluro	m
eng	Ylitornio	Proper noun	tr	municipality	fin	Ylitornio
eng	Ylitornio	Proper noun	tr	municipality	sme	Badje-Duortnus
eng	Ylitornio	Proper noun	tr	municipality	swe	Övertorneå
eng	Ylöjärvi	Proper noun	tr	municipality	fin	Ylöjärvi
