	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Yvelines	Proper noun	tr	department	fra	Yvelines	m-p
eng	Yvelines	Proper noun	tr	department	lat	Evelinae
eng	Yvelines	Proper noun	tr	department	nrf	Yvelènes
eng	Yvette	Proper noun	tr	female given name	ces	Iveta	f
eng	Yvette	Proper noun	tr	female given name	fra	Yvette
eng	Yvette	Proper noun	tr	female given name	hun	Ivett
eng	Yvette	Proper noun	tr	female given name	lav	Iveta	f
eng	Yvonne	Proper noun	tr	female given name	ces	Ivona	f
eng	Yvonne	Proper noun	tr	female given name	dan	Yvonne
eng	Yvonne	Proper noun	tr	female given name	deu	Yvonne
eng	Yvonne	Proper noun	tr	female given name	fra	Yvonne
eng	Yvonne	Proper noun	tr	female given name	nor	Yvonne
eng	Yvonne	Proper noun	tr	female given name	por	Ivone	f
eng	Yvonne	Proper noun	tr	female given name	swe	Yvonne
