	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ypresian	Proper noun	tr	subdivision of the Eocene epoch	cat	Ypresià
eng	Ypresian	Proper noun	tr	subdivision of the Eocene epoch	deu	Ypresium
eng	Ypresian	Proper noun	tr	subdivision of the Eocene epoch	fra	Yprésien
eng	Ypresian	Proper noun	tr	subdivision of the Eocene epoch	hun	Yprezi
eng	Ypresian	Proper noun	tr	subdivision of the Eocene epoch	ita	Ypresiano
eng	Ypresian	Proper noun	tr	subdivision of the Eocene epoch	nld	Ypresien
eng	Ypresian	Proper noun	tr	subdivision of the Eocene epoch	pol	Ipres
eng	Ypresian	Proper noun	tr	subdivision of the Eocene epoch	spa	Ypresiense
eng	Ypres	Proper noun	tr	City in Flanders	deu	Ypern
eng	Ypres	Proper noun	tr	City in Flanders	gla	Ieper
eng	Ypres	Proper noun	tr	City in Flanders	ita	Ipro
eng	Ypres	Proper noun	tr	City in Flanders	lat	Hyprae	f-p
eng	Ypres	Proper noun	tr	City in Flanders	lat	Ypra	f
eng	Ypres	Proper noun	tr	City in Flanders	nld	Ieper
