	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	zloty	Noun	tr	the currency unit of Poland	bel	зло́ты	m
eng	zloty	Noun	tr	the currency unit of Poland	bul	зло́ти	m
eng	zloty	Noun	tr	the currency unit of Poland	cat	esloti	m
eng	zloty	Noun	tr	the currency unit of Poland	ces	zlotý	m
eng	zloty	Noun	tr	the currency unit of Poland	cmn	兹罗提	tr=zīluótí	sc=Hani
eng	zloty	Noun	tr	the currency unit of Poland	cmn	茲羅提	sc=Hani
eng	zloty	Noun	tr	the currency unit of Poland	dan	zloty	c
eng	zloty	Noun	tr	the currency unit of Poland	deu	Zloty	m
eng	zloty	Noun	tr	the currency unit of Poland	deu	Złoty	m
eng	zloty	Noun	tr	the currency unit of Poland	ell	ζλότι	n
eng	zloty	Noun	tr	the currency unit of Poland	fin	zloty
eng	zloty	Noun	tr	the currency unit of Poland	fra	zloty	m
eng	zloty	Noun	tr	the currency unit of Poland	fra	złoty	m
eng	zloty	Noun	tr	the currency unit of Poland	hbs	zlot	m
eng	zloty	Noun	tr	the currency unit of Poland	hbs	злот	m
eng	zloty	Noun	tr	the currency unit of Poland	heb	זלוטי	sc=Hebr
eng	zloty	Noun	tr	the currency unit of Poland	hun	zloty
eng	zloty	Noun	tr	the currency unit of Poland	hun	złoty
eng	zloty	Noun	tr	the currency unit of Poland	hye	զլոտի
eng	zloty	Noun	tr	the currency unit of Poland	jpn	ズウォティ	tr=zuwoti	sc=Jpan
eng	zloty	Noun	tr	the currency unit of Poland	jpn	ズロティ	tr=zuroti	sc=Jpan
eng	zloty	Noun	tr	the currency unit of Poland	kat	ზლოტი
eng	zloty	Noun	tr	the currency unit of Poland	kor	즐로티	sc=Kore
eng	zloty	Noun	tr	the currency unit of Poland	mkd	злоти	m
eng	zloty	Noun	tr	the currency unit of Poland	nav	zwótii
eng	zloty	Noun	tr	the currency unit of Poland	nor	zloty	m
eng	zloty	Noun	tr	the currency unit of Poland	pol	zł
eng	zloty	Noun	tr	the currency unit of Poland	pol	złotówka	f
eng	zloty	Noun	tr	the currency unit of Poland	pol	złoty	m
eng	zloty	Noun	tr	the currency unit of Poland	por	zloti	m
eng	zloty	Noun	tr	the currency unit of Poland	por	zloty	m
eng	zloty	Noun	tr	the currency unit of Poland	rus	зло́тый	m
eng	zloty	Noun	tr	the currency unit of Poland	slk	zlotý	m
eng	zloty	Noun	tr	the currency unit of Poland	slv	zlot	m-in
eng	zloty	Noun	tr	the currency unit of Poland	spa	esloti	m
eng	zloty	Noun	tr	the currency unit of Poland	tha	ซวอตือ
eng	zloty	Noun	tr	the currency unit of Poland	ukr	зло́тий	m
eng	zloty	Noun	tr	the currency unit of Poland	yid	זלאָטע	f
