	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Zweihänder	Noun	tr	sword	jpn	ツヴァイヘンダー	tr=tsuvaihendā	sc=Jpan
eng	Zwickau	Proper noun	tr	city in Germany	ces	Cvikov	m
eng	Zwickau	Proper noun	tr	city in Germany	deu	Zwickau	n
eng	Zwickau	Proper noun	tr	city in Germany	dsb	Šwikawa	f
eng	Zwickau	Proper noun	tr	city in Germany	hsb	Šwikawa	f
eng	Zwickau	Proper noun	tr	city in Germany	pol	Ćwików	m
eng	Zwickau	Proper noun	tr	city in Germany	rus	Цвикка́у	m
eng	Zwickau	Proper noun	tr	city in Germany	rus	Цви́ккау	m
eng	zwieback	Noun	tr		pol	suchar	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	cym	Zwinglïaidd
eng	Zwinglian	Adjective	tr	relating to Zwingli	deu	zwinglianisch	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	fra	zwinglien	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	ita	zwingliano	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	por	zwingliano	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	rus	цвинглианский	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	spa	zwingliano	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	ukr	цвінгліанський	m
eng	Zwinglian	Noun	tr	a follower of Zwingli	ita	zwingliano
eng	Zwinglian	Noun	tr	a follower of Zwingli	por	zwingliano
eng	Zwinglian	Noun	tr	a follower of Zwingli	spa	zwingliano
eng	Zwinglian	Noun	tr	a follower of Zwingli	ukr	цвінгліанець	m
eng	Zwingli	Proper noun	tr	German surname	deu	Zwingli
eng	Zwingli	Proper noun	tr	German surname	hye	Ցվինգլի
eng	Zwingli	Proper noun	tr	German surname	rus	Цви́нгли	sc=Cyrl
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	ara	أيون مزدوج
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	cat	zwitterió	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	fra	zwitterion	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	glg	zwitterión	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	ita	zwitterione	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	pol	jon obojnaczy	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	pol	zwitterjon	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	por	zwitterion	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	por	zwitteríon	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	rus	цви́ттер-ио́н	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	spa	zwitterión	m
eng	ZWJ	Noun	tr	zero-width joiner	ara	وَاصِل صِفْر اَلْعَرْض
eng	ZWJ	Noun	tr	zero-width joiner	fas	اتصال مجازی	tr=ettesâl-e majâzi
eng	ZWJ	Noun	tr	zero-width joiner	mal	സീറോ വിഡ്ത്ത് ജോയിനർ	sc=Mlym
eng	ZWJ	Noun	tr	zero-width joiner	tha	ตัวเชื่อมความกว้างศูนย์	tr=dtua chêuam kwaam gwâang sŏon
eng	ZWNJ	Noun	tr	zero-width non-joiner	ara	فَاصِل صِفْر اَلْعَرْض
eng	ZWNJ	Noun	tr	zero-width non-joiner	deu	Bindehemmer	m
eng	ZWNJ	Noun	tr	zero-width non-joiner	fas	فاصله مجازی	tr=fâsele-ye majâzi
eng	ZWNJ	Noun	tr	zero-width non-joiner	fin	leveydetön yhdistävä merkki
eng	ZWNJ	Noun	tr	zero-width non-joiner	fra	antiliant sans chasse	m
eng	ZWNJ	Noun	tr	zero-width non-joiner	rus	необъединя́ющий си́мвол нулево́й ширины́	m
eng	ZWNJ	Noun	tr	zero-width non-joiner	tha	ตัวไม่เชื่อมความกว้างศูนย์	tr=dtua mâi chêuam kwaam gwâang sŏon
