	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Zweihänder	Noun	tr	sword	jpn	ツヴァイヘンダー	tr=tsuvaihendā	sc=Jpan
eng	Zwickau	Proper noun	tr	city in Germany	ces	Cvikov	m
eng	Zwickau	Proper noun	tr	city in Germany	deu	Zwickau	n
eng	Zwickau	Proper noun	tr	city in Germany	dsb	Šwikawa	f
eng	Zwickau	Proper noun	tr	city in Germany	hsb	Šwikawa	f
eng	Zwickau	Proper noun	tr	city in Germany	pol	Ćwików	m
eng	Zwickau	Proper noun	tr	city in Germany	rus	Цвикка́у	m
eng	Zwickau	Proper noun	tr	city in Germany	rus	Цви́ккау	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	cym	Zwinglïaidd
eng	Zwinglian	Adjective	tr	relating to Zwingli	deu	zwinglianisch	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	fra	zwinglien	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	ita	zwingliano	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	por	zwingliano	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	rus	цвинглианский	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	spa	zwingliano	m
eng	Zwinglian	Adjective	tr	relating to Zwingli	ukr	цвінгліанський	m
eng	Zwinglian	Noun	tr	a follower of Zwingli	ita	zwingliano
eng	Zwinglian	Noun	tr	a follower of Zwingli	por	zwingliano
eng	Zwinglian	Noun	tr	a follower of Zwingli	spa	zwingliano
eng	Zwinglian	Noun	tr	a follower of Zwingli	ukr	цвінгліанець	m
eng	Zwingli	Proper noun	tr	German surname	deu	Zwingli
eng	Zwingli	Proper noun	tr	German surname	hye	Ցվինգլի
eng	Zwingli	Proper noun	tr	German surname	rus	Цви́нгли	sc=Cyrl
