	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Zyrian	Proper noun	tr	the language	cat	ziriè	m
eng	Zyrian	Proper noun	tr	the language	fin	komi
eng	Zyrian	Proper noun	tr	the language	fin	syrjääni
eng	Zyrian	Proper noun	tr	the language	kpv	коми кыв
eng	Zyrian	Proper noun	tr	the language	rus	зыря́нский	m
eng	Zyrian	Proper noun	tr	the language	rus	ко́ми	m
eng	Zyrian	Proper noun	tr	the language	udm	зырян
eng	Zyrian	Proper noun	tr	the language	udm	коми
mul	Zygentoma	Proper noun	tr		deu	silberfisch
mul	Zygentoma	Proper noun	tr		swe	nattsmygen
mul	Zygentoma	Proper noun	tr		swe	silverfisk
