	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	adactylism	Noun	tr	absence of fingers or toes	fin	adaktylia
eng	adactylism	Noun	tr	absence of fingers or toes	por	adactilia	f
eng	adactyly	Noun	tr		ita	adattilia	f
eng	adactyly	Noun	tr		slk	adaktýlia	f
eng	adage	Noun	tr	old saying	bul	поговорка
eng	adage	Noun	tr	old saying	bul	пословица
eng	adage	Noun	tr	old saying	deu	geflügeltes Wort	n
eng	adage	Noun	tr	old saying	deu	Sprichwort	n
eng	adage	Noun	tr	old saying	ell	γνωμικό	n
eng	adage	Noun	tr	old saying	ell	παροιμία	f
eng	adage	Noun	tr	old saying	fas	پند	tr=pand	sc=fa-Arab
eng	adage	Noun	tr	old saying	fin	sanonta
eng	adage	Noun	tr	old saying	hbs	izreka
eng	adage	Noun	tr	old saying	hbs	poslovica
eng	adage	Noun	tr	old saying	hun	bölcs mondás
eng	adage	Noun	tr	old saying	hun	közmondás
eng	adage	Noun	tr	old saying	hun	szállóige
eng	adage	Noun	tr	old saying	hun	velős mondás
eng	adage	Noun	tr	old saying	ita	modo di dire	m
eng	adage	Noun	tr	old saying	kat	გამონათქვამი	sc=Geor
eng	adage	Noun	tr	old saying	lat	adagium	n
eng	adage	Noun	tr	old saying	nld	gezegde
eng	adage	Noun	tr	old saying	nor	visdomsord	n
eng	adage	Noun	tr	old saying	pol	maksyma	f
eng	adage	Noun	tr	old saying	pol	porzekadło	n
eng	adage	Noun	tr	old saying	pol	przysłowie	n
eng	adage	Noun	tr	old saying	por	adágio	m
eng	adage	Noun	tr	old saying	por	anexim	m
eng	adage	Noun	tr	old saying	por	dito	m
eng	adage	Noun	tr	old saying	rus	посло́вица	f
eng	adage	Noun	tr	old saying	spa	adagio	m
eng	adage	Noun	tr	old saying	spa	dicho	m
eng	adage	Noun	tr	old saying	spa	refrán	m
eng	adage	Noun	tr	old saying	swe	ordspråk	n
eng	adage	Noun	tr	old saying	swe	talesätt	n
eng	adage	Noun	tr	old saying	tgl	sabihin
eng	adagial	Adjective	tr	pertaining to an adage	por	adagial
eng	adagietto	Noun	tr	passage	ita	adagetto	m
eng	adagietto	Noun	tr	passage	ita	adagietto	m
eng	adagietto	Noun	tr	passage	jpn	アダージェット	tr=adājetto
eng	adagietto	Noun	tr	passage	jpn	アダジェット	tr=adajetto
eng	adagietto	Noun	tr	passage	por	adagieto	m
eng	adagietto	Noun	tr	passage	por	adagietto	m
eng	adagietto	Noun	tr	passage	rus	адажие́тто	n
eng	adagietto	Noun	tr	passage	spa	adagietto	m
eng	adagio	Noun	tr	tempo mark indicating that music is to be played slowly	cos	adaghju	m
eng	adagio	Noun	tr	tempo mark indicating that music is to be played slowly	ita	adagio	m
eng	adagio	Noun	tr	tempo mark indicating that music is to be played slowly	por	adágio	m
eng	adalimumab	Noun	tr	monoclonal antibody	fin	adalimumabi
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	bul	неподатлив
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	bul	непреклонен
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	bul	твърд
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	ces	neoblomný
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	ces	neochvějný	m
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	eisern
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	felsenfest
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	fest
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	hartnäckig
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	rigoros
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	sehr hart
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	steinhart
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	stur
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	undurchdringbar
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	unerbittlich
eng	adamant	Adjective	tr	determined; unshakeable; unyielding	deu	unerschütterlich
