	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	afanc	Noun	tr	lake monster in Welsh mythology	cym	afanc	m
eng	afar	Adverb	tr	at, to or from a great distance	cat	a la llunyania
eng	afar	Adverb	tr	at, to or from a great distance	cat	al lluny
eng	afar	Adverb	tr	at, to or from a great distance	cat	lluny
eng	afar	Adverb	tr	at, to or from a great distance	dan	langvejsfra
eng	afar	Adverb	tr	at, to or from a great distance	deu	fern
eng	afar	Adverb	tr	at, to or from a great distance	deu	weit
eng	afar	Adverb	tr	at, to or from a great distance	deu	weither
eng	afar	Adverb	tr	at, to or from a great distance	deu	weit weg
eng	afar	Adverb	tr	at, to or from a great distance	fin	kauas
eng	afar	Adverb	tr	at, to or from a great distance	fin	kaukaa
eng	afar	Adverb	tr	at, to or from a great distance	fin	kaukana
eng	afar	Adverb	tr	at, to or from a great distance	glg	lonxe
eng	afar	Adverb	tr	at, to or from a great distance	grc	μακρόθεν
eng	afar	Adverb	tr	at, to or from a great distance	grc	τῆλε
eng	afar	Adverb	tr	at, to or from a great distance	ita	da lontano
eng	afar	Adverb	tr	at, to or from a great distance	lat	procul
eng	afar	Adverb	tr	at, to or from a great distance	nob	langveisfra
eng	afar	Adverb	tr	at, to or from a great distance	pol	w oddali
eng	afar	Adverb	tr	at, to or from a great distance	por	longe
eng	afar	Adverb	tr	at, to or from a great distance	rus	вдалеке́
eng	afar	Adverb	tr	at, to or from a great distance	rus	вдали́
eng	afar	Adverb	tr	at, to or from a great distance	rus	далеко́
eng	afar	Adverb	tr	at, to or from a great distance	rus	издалека́
eng	afar	Adverb	tr	at, to or from a great distance	rus	и́здали
eng	afar	Adverb	tr	at, to or from a great distance	spa	a lo lejos
eng	afar	Adverb	tr	at, to or from a great distance	spa	lejos
eng	afebrile	Adjective	tr	having no fever, without a fever	deu	fieberfrei
eng	afebrile	Adjective	tr	having no fever, without a fever	deu	fieberlos
eng	afebrile	Adjective	tr	having no fever, without a fever	fin	afebriili
eng	afebrile	Adjective	tr	having no fever, without a fever	fin	kuumeeton
eng	afebrile	Adjective	tr	having no fever, without a fever	por	afebril
eng	afebrile	Adjective	tr	having no fever, without a fever	vol	nenfifik
eng	affability	Noun	tr	state or quality of being affable	cat	afabilitat	f
eng	affability	Noun	tr	state or quality of being affable	deu	Freundlichkeit	f
eng	affability	Noun	tr	state or quality of being affable	deu	Leutseligkeit	f
eng	affability	Noun	tr	state or quality of being affable	deu	Umgänglichkeit	f
eng	affability	Noun	tr	state or quality of being affable	epo	afableco
eng	affability	Noun	tr	state or quality of being affable	jpn	優しさ	tr=yasashisa
eng	affability	Noun	tr	state or quality of being affable	lat	affabilitās	f
eng	affability	Noun	tr	state or quality of being affable	msa	keramahan
eng	affability	Noun	tr	state or quality of being affable	por	afabilidade	f
eng	affability	Noun	tr	state or quality of being affable	ron	afabilitate	f
eng	affability	Noun	tr	state or quality of being affable	ron	cordialitate
eng	affability	Noun	tr	state or quality of being affable	spa	afabilidad	f
eng	affable	Adjective	tr	friendly, courteous, sociable	aze	gülərüz
eng	affable	Adjective	tr	friendly, courteous, sociable	bul	вежлив
eng	affable	Adjective	tr	friendly, courteous, sociable	bul	внимателен
eng	affable	Adjective	tr	friendly, courteous, sociable	bul	любезен
eng	affable	Adjective	tr	friendly, courteous, sociable	bul	приветлив
eng	affable	Adjective	tr	friendly, courteous, sociable	ces	přívětivý
eng	affable	Adjective	tr	friendly, courteous, sociable	ces	vlídný
eng	affable	Adjective	tr	friendly, courteous, sociable	deu	affabel
eng	affable	Adjective	tr	friendly, courteous, sociable	deu	umgänglich
eng	affable	Adjective	tr	friendly, courteous, sociable	epo	afabla
eng	affable	Adjective	tr	friendly, courteous, sociable	fin	mukava
eng	affable	Adjective	tr	friendly, courteous, sociable	fra	aimable
eng	affable	Adjective	tr	friendly, courteous, sociable	gla	suairce
eng	affable	Adjective	tr	friendly, courteous, sociable	glg	afábel
eng	affable	Adjective	tr	friendly, courteous, sociable	ita	affabile
eng	affable	Adjective	tr	friendly, courteous, sociable	kaz	жайдары
eng	affable	Adjective	tr	friendly, courteous, sociable	lat	affābilis
eng	affable	Adjective	tr	friendly, courteous, sociable	mri	hoahoa
eng	affable	Adjective	tr	friendly, courteous, sociable	mri	hūmārie
eng	affable	Adjective	tr	friendly, courteous, sociable	mri	ratarata
eng	affable	Adjective	tr	friendly, courteous, sociable	mri	takahoahoa
eng	affable	Adjective	tr	friendly, courteous, sociable	mri	wahawaha
eng	affable	Adjective	tr	friendly, courteous, sociable	mri	whakahoahoa
eng	affable	Adjective	tr	friendly, courteous, sociable	nld	gemoedelijk
eng	affable	Adjective	tr	friendly, courteous, sociable	nld	welwillend
eng	affable	Adjective	tr	friendly, courteous, sociable	nob	elskverdig
eng	affable	Adjective	tr	friendly, courteous, sociable	nob	hyggelig
eng	affable	Adjective	tr	friendly, courteous, sociable	nob	vennlig
eng	affable	Adjective	tr	friendly, courteous, sociable	pdt	schaftich
eng	affable	Adjective	tr	friendly, courteous, sociable	pol	sympatyczny
eng	affable	Adjective	tr	friendly, courteous, sociable	por	afável
eng	affable	Adjective	tr	friendly, courteous, sociable	ron	afabil
eng	affable	Adjective	tr	friendly, courteous, sociable	ron	cordial
eng	affable	Adjective	tr	friendly, courteous, sociable	rus	приве́тливый
eng	affable	Adjective	tr	friendly, courteous, sociable	spa	afable
eng	affable	Adjective	tr	friendly, courteous, sociable	swe	älskvärd
eng	affable	Adjective	tr	friendly, courteous, sociable	swe	förbindlig
eng	affable	Adjective	tr	friendly, courteous, sociable	swe	vänlig
eng	affable	Adjective	tr	friendly, courteous, sociable	tur	arkadaş canlısı
eng	affable	Adjective	tr	mild; benign	ces	přívětivý
eng	affable	Adjective	tr	mild; benign	ces	vlídný
eng	affable	Adjective	tr	mild; benign	deu	umgänglich
eng	affable	Adjective	tr	mild; benign	fra	doux
eng	affable	Adjective	tr	mild; benign	gla	tlàth
eng	affable	Adjective	tr	mild; benign	ita	amabile
eng	affable	Adjective	tr	mild; benign	ita	bonario
eng	affable	Adjective	tr	mild; benign	nor	hyggelig
eng	affable	Adjective	tr	mild; benign	nor	velvillig
eng	affable	Adjective	tr	mild; benign	pol	życzliwy
eng	affable	Adjective	tr	mild; benign	rus	любе́зный
eng	affable	Adjective	tr	mild; benign	spa	amable
eng	affable	Adjective	tr	mild; benign	spa	tranquilo
eng	affable	Adjective	tr	mild; benign	tur	içten
eng	affably	Adverb	tr	in an affable manner	epo	afable
eng	affably	Adverb	tr	in an affable manner	lat	affābiliter
eng	affably	Adverb	tr	in an affable manner	por	afavelmente
eng	affair	Noun	tr	action or engagement not of sufficient magnitude to be called a battle	bul	схватка
eng	affair	Noun	tr	action or engagement not of sufficient magnitude to be called a battle	deu	Scharmützel	n
eng	affair	Noun	tr	action or engagement not of sufficient magnitude to be called a battle	ell	συμπλοκή	f	sc=Grek
eng	affair	Noun	tr	action or engagement not of sufficient magnitude to be called a battle	fin	selkkaus
eng	affair	Noun	tr	action or engagement not of sufficient magnitude to be called a battle	jpn	問題	tr=mondai
eng	affair	Noun	tr	action or engagement not of sufficient magnitude to be called a battle	rus	боестолкнове́ние	n
eng	affair	Noun	tr	action or engagement not of sufficient magnitude to be called a battle	rus	схва́тка	f
eng	affair	Noun	tr	action or engagement not of sufficient magnitude to be called a battle	ukr	су́тичка
eng	affair	Noun	tr	adulterous relationship	ara	عَلَاقَة غَرَامِيَّة	f	tr=ʿalāqa ḡarāmiyya
eng	affair	Noun	tr	adulterous relationship	bul	връзка
eng	affair	Noun	tr	adulterous relationship	ces	poměr	m
eng	affair	Noun	tr	adulterous relationship	cmn	恋爱	tr=liàn'ài	sc=Hani
eng	affair	Noun	tr	adulterous relationship	cmn	恋爱关系	tr=liàn'ài guānxi	sc=Hani
eng	affair	Noun	tr	adulterous relationship	cmn	戀愛	sc=Hani
eng	affair	Noun	tr	adulterous relationship	cmn	戀愛關係	sc=Hani
eng	affair	Noun	tr	adulterous relationship	deu	Affäre	f
