	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	again	Adverb	tr	another time	acw	مَرَّة ثانْية	f	tr=marra tānya
eng	again	Adverb	tr	another time	afb	مرة ثانية	f	tr=marra ṯānya
eng	again	Adverb	tr	another time	afr	alweer
eng	again	Adverb	tr	another time	afr	weer
eng	again	Adverb	tr	another time	alt	јаҥы́дан
eng	again	Adverb	tr	another time	alt	кайтада́н
eng	again	Adverb	tr	another time	alt	та́гы
eng	again	Adverb	tr	another time	ang	eft
eng	again	Adverb	tr	another time	ara	ثَانِيَةً
eng	again	Adverb	tr	another time	ara	كَرَّة أُخْرَى	f	tr=karra ʾuḵrā
eng	again	Adverb	tr	another time	ara	مَرَّة أُخْرَى	f	tr=marra ʾuḵrā
eng	again	Adverb	tr	another time	ary	عاود تاني	tr=ʿāwd tāni
eng	again	Adverb	tr	another time	arz	تاني	tr=tāni
eng	again	Adverb	tr	another time	arz	كمان	tr=kamān, kmān
eng	again	Adverb	tr	another time	asm	আকৌ
eng	again	Adverb	tr	another time	asm	পুনু
eng	again	Adverb	tr	another time	ast	de nuevo
eng	again	Adverb	tr	another time	ast	otra vegada
eng	again	Adverb	tr	another time	ast	otra vez
eng	again	Adverb	tr	another time	atv	ча́ҥыдан
eng	again	Adverb	tr	another time	ava	жеги
eng	again	Adverb	tr	another time	aze	bir daha
eng	again	Adverb	tr	another time	aze	birdə
eng	again	Adverb	tr	another time	aze	yenə
eng	again	Adverb	tr	another time	aze	yenidən
eng	again	Adverb	tr	another time	bak	йәнә
eng	again	Adverb	tr	another time	bak	тағы берҙе
eng	again	Adverb	tr	another time	bak	тағы ла
eng	again	Adverb	tr	another time	bcl	giraray
eng	again	Adverb	tr	another time	bcl	liwat
eng	again	Adverb	tr	another time	bel	зноў
eng	again	Adverb	tr	another time	bel	яшчэ́ раз
eng	again	Adverb	tr	another time	ben	আবার
eng	again	Adverb	tr	another time	bre	adarre
eng	again	Adverb	tr	another time	bul	отно́во
eng	again	Adverb	tr	another time	bul	пак
eng	again	Adverb	tr	another time	bul	повто́рно
eng	again	Adverb	tr	another time	cat	de nou
eng	again	Adverb	tr	another time	cat	una altra vegada
eng	again	Adverb	tr	another time	cat	un altre cop
eng	again	Adverb	tr	another time	ces	opět
eng	again	Adverb	tr	another time	ces	zase
eng	again	Adverb	tr	another time	ces	znova
eng	again	Adverb	tr	another time	chr	ᎠᏏᏇ
eng	again	Adverb	tr	another time	chr	ᏏᏊ
eng	again	Adverb	tr	another time	cic	ano̠wa'
eng	again	Adverb	tr	another time	ckb	دوبارھ
eng	again	Adverb	tr	another time	ckb	دیسان
eng	again	Adverb	tr	another time	ckb	ھەمدیس
eng	again	Adverb	tr	another time	ckt	нэмэ	tr=nėmė
eng	again	Adverb	tr	another time	cmn	再	tr=zài
eng	again	Adverb	tr	another time	cmn	又	tr=yòu
eng	again	Adverb	tr	another time	cmn	遍	alt=再……一遍	tr=zai4... yíbiàn
eng	again	Adverb	tr	another time	cmn	重新	tr=chóngxīn
eng	again	Adverb	tr	another time	crh	kene
eng	again	Adverb	tr	another time	csm	ˀičáˀ
eng	again	Adverb	tr	another time	cym	eto
eng	again	Adverb	tr	another time	dan	igen
eng	again	Adverb	tr	another time	deu	erneut
eng	again	Adverb	tr	another time	deu	noch einmal
eng	again	Adverb	tr	another time	deu	nochmal
eng	again	Adverb	tr	another time	deu	schon wieder
eng	again	Adverb	tr	another time	deu	wieder
eng	again	Adverb	tr	another time	deu	wiederum
eng	again	Adverb	tr	another time	dng	зэ
eng	again	Adverb	tr	another time	dng	ю
eng	again	Adverb	tr	another time	dsb	zasej
eng	again	Adverb	tr	another time	ell	ξανά
eng	again	Adverb	tr	another time	ell	πάλι
eng	again	Adverb	tr	another time	epo	denove
eng	again	Adverb	tr	another time	epo	ree
eng	again	Adverb	tr	another time	est	jälle
eng	again	Adverb	tr	another time	eus	berriro
eng	again	Adverb	tr	another time	fao	aftur
eng	again	Adverb	tr	another time	fao	umaftur
eng	again	Adverb	tr	another time	fas	از نو	tr=az now
eng	again	Adverb	tr	another time	fas	باز	tr=bâz
eng	again	Adverb	tr	another time	fas	دگربار	tr=degarbâr
eng	again	Adverb	tr	another time	fas	دوباره	tr=do-bâre
eng	again	Adverb	tr	another time	fin	jälleen
eng	again	Adverb	tr	another time	fin	taas
eng	again	Adverb	tr	another time	fin	toistamiseen
eng	again	Adverb	tr	another time	fin	uudelleen
eng	again	Adverb	tr	another time	fin	vielä kerran
eng	again	Adverb	tr	another time	fra	de nouveau
eng	again	Adverb	tr	another time	fra	encore
eng	again	Adverb	tr	another time	fry	wer
eng	again	Adverb	tr	another time	gla	a-rithist
eng	again	Adverb	tr	another time	gla	às ùr
eng	again	Adverb	tr	another time	gle	arís
eng	again	Adverb	tr	another time	gle	athuair
eng	again	Adverb	tr	another time	glg	de novo
eng	again	Adverb	tr	another time	glg	outra vez
eng	again	Adverb	tr	another time	grc	ἄνωθεν
eng	again	Adverb	tr	another time	grc	πάλιν
eng	again	Adverb	tr	another time	haw	hou
